rup_mag,dist_rhypo,result_type,mmi 
4.5,1.00E-01,TOTAL_STDDEV,0.437
4.5,1,TOTAL_STDDEV,0.437
4.5,2,TOTAL_STDDEV,0.437
4.5,3,TOTAL_STDDEV,0.437
4.5,4,TOTAL_STDDEV,0.437
4.5,5,TOTAL_STDDEV,0.437
4.5,6,TOTAL_STDDEV,0.437
4.5,7,TOTAL_STDDEV,0.437
4.5,8,TOTAL_STDDEV,0.437
4.5,9,TOTAL_STDDEV,0.437
4.5,10,TOTAL_STDDEV,0.437
4.5,11,TOTAL_STDDEV,0.437
4.5,12,TOTAL_STDDEV,0.437
4.5,14,TOTAL_STDDEV,0.437
4.5,16,TOTAL_STDDEV,0.437
4.5,18,TOTAL_STDDEV,0.437
4.5,20,TOTAL_STDDEV,0.437
4.5,22,TOTAL_STDDEV,0.437
4.5,25,TOTAL_STDDEV,0.437
4.5,28,TOTAL_STDDEV,0.437
4.5,32,TOTAL_STDDEV,0.437
4.5,35,TOTAL_STDDEV,0.437
4.5,40,TOTAL_STDDEV,0.437
4.5,45,TOTAL_STDDEV,0.437
4.5,50,TOTAL_STDDEV,0.437
4.5,56,TOTAL_STDDEV,0.437
4.5,63,TOTAL_STDDEV,0.437
4.5,71,TOTAL_STDDEV,0.437
4.5,79,TOTAL_STDDEV,0.437
4.5,89,TOTAL_STDDEV,0.437
4.5,100,TOTAL_STDDEV,0.437
4.5,112,TOTAL_STDDEV,0.437
4.5,126,TOTAL_STDDEV,0.437
4.5,141,TOTAL_STDDEV,0.437
4.5,158,TOTAL_STDDEV,0.437
4.5,178,TOTAL_STDDEV,0.437
4.5,200,TOTAL_STDDEV,0.437
4.5,224,TOTAL_STDDEV,0.437
4.5,250,TOTAL_STDDEV,0.437
4.6,1.00E-01,TOTAL_STDDEV,0.437
4.6,1,TOTAL_STDDEV,0.437
4.6,2,TOTAL_STDDEV,0.437
4.6,3,TOTAL_STDDEV,0.437
4.6,4,TOTAL_STDDEV,0.437
4.6,5,TOTAL_STDDEV,0.437
4.6,6,TOTAL_STDDEV,0.437
4.6,7,TOTAL_STDDEV,0.437
4.6,8,TOTAL_STDDEV,0.437
4.6,9,TOTAL_STDDEV,0.437
4.6,10,TOTAL_STDDEV,0.437
4.6,11,TOTAL_STDDEV,0.437
4.6,12,TOTAL_STDDEV,0.437
4.6,14,TOTAL_STDDEV,0.437
4.6,16,TOTAL_STDDEV,0.437
4.6,18,TOTAL_STDDEV,0.437
4.6,20,TOTAL_STDDEV,0.437
4.6,22,TOTAL_STDDEV,0.437
4.6,25,TOTAL_STDDEV,0.437
4.6,28,TOTAL_STDDEV,0.437
4.6,32,TOTAL_STDDEV,0.437
4.6,35,TOTAL_STDDEV,0.437
4.6,40,TOTAL_STDDEV,0.437
4.6,45,TOTAL_STDDEV,0.437
4.6,50,TOTAL_STDDEV,0.437
4.6,56,TOTAL_STDDEV,0.437
4.6,63,TOTAL_STDDEV,0.437
4.6,71,TOTAL_STDDEV,0.437
4.6,79,TOTAL_STDDEV,0.437
4.6,89,TOTAL_STDDEV,0.437
4.6,100,TOTAL_STDDEV,0.437
4.6,112,TOTAL_STDDEV,0.437
4.6,126,TOTAL_STDDEV,0.437
4.6,141,TOTAL_STDDEV,0.437
4.6,158,TOTAL_STDDEV,0.437
