taxonomy,consequence,loss_type,slight,moderate,extensive,complete
demand,collapsed,structural,0,0,1,1
pumping_station1,collapsed,structural,0,0,1,1
pumping_station2,collapsed,structural,0,0,1,1
well,collapsed,structural,0,0,1,1
auxillary_node,collapsed,structural,0,0,1,1
CI_regdia_300,collapsed,structural,0,0,1,1
CI_regdia_500,collapsed,structural,0,0,1,1
CI_regdia_100,collapsed,structural,0,0,1,1
CI_regdia_200,collapsed,structural,0,0,1,1
CI_regdia_150,collapsed,structural,0,0,1,1
CI_regdia_250,collapsed,structural,0,0,1,1
tank,collapsed,structural,0,0,1,1
treatment_plant,collapsed,structural,0,0,1,1
inter,collapsed,structural,0,0,1,1
