rup_mag,dist_rjb,result_type,damping,pgv,pga,0.0500,0.1000,0.2000,0.3003,0.5000,1.0000,2.0000,5.0000,10.0000
4.50,0.10,MEAN,5.0,9.01156044e+01,2.94428146e-01,4.48724027e-01,6.27739308e-01,3.58574436e-01,2.19522644e-01,1.68919320e-01,5.90037106e-02,1.17484162e-02,4.25872233e-04,2.02152597e-05
4.50,1.00,MEAN,5.0,8.01862678e+01,2.40203496e-01,3.62058981e-01,5.33555160e-01,3.17745438e-01,1.96417113e-01,1.50757638e-01,5.26840708e-02,1.05676720e-02,3.91182416e-04,1.90712573e-05
4.50,2.00,MEAN,5.0,6.52679542e+01,1.77410502e-01,2.62348946e-01,4.08018002e-01,2.60243160e-01,1.64315800e-01,1.24245116e-01,4.34089543e-02,8.80398562e-03,3.45843266e-04,1.77778536e-05
4.50,5.00,MEAN,5.0,3.46497416e+01,9.01735826e-02,1.27022111e-01,2.08103471e-01,1.51105170e-01,9.93526200e-02,7.07749098e-02,2.36907781e-02,4.93263891e-03,2.32583726e-04,1.46244427e-05
4.50,10.00,MEAN,5.0,1.66532883e+01,4.57066429e-02,6.20839477e-02,1.03342586e-01,8.26188840e-02,5.62314554e-02,3.74092778e-02,1.18162406e-02,2.48130028e-03,1.42127895e-04,1.14282393e-05
4.50,15.00,MEAN,5.0,1.01531312e+01,2.87064392e-02,3.82278017e-02,6.39409853e-02,5.43224469e-02,3.78686065e-02,2.41478975e-02,7.34309800e-03,1.53949869e-03,1.00433668e-04,9.46192115e-06
4.50,20.00,MEAN,5.0,6.94384471e+00,1.99562679e-02,2.61143562e-02,4.39419499e-02,3.90912290e-02,2.77318808e-02,1.71703570e-02,5.10598253e-03,1.07765395e-03,7.68739726e-05,8.11482810e-06
4.50,25.00,MEAN,5.0,5.10387465e+00,1.47835701e-02,1.91108201e-02,3.20833216e-02,2.97426270e-02,2.14377560e-02,1.30100607e-02,3.79646434e-03,8.05711058e-04,6.16281775e-05,7.12654980e-06
4.50,29.99,MEAN,5.0,3.93550075e+00,1.13469548e-02,1.44836935e-02,2.45289707e-02,2.33818745e-02,1.70757318e-02,1.02607552e-02,2.95787165e-03,6.29331289e-04,5.12011039e-05,6.36618602e-06
4.50,39.99,MEAN,5.0,2.57869513e+00,7.25570011e-03,9.12807762e-03,1.54624862e-02,1.55876026e-02,1.17592419e-02,6.91002032e-03,1.97187474e-03,4.21482284e-04,3.76079209e-05,5.27569068e-06
4.50,50.00,MEAN,5.0,1.82641725e+00,4.97713390e-03,6.17275904e-03,1.04611475e-02,1.10912201e-02,8.58774864e-03,4.99780520e-03,1.40987083e-03,3.04915376e-04,2.93007896e-05,4.50172876e-06
4.50,59.98,MEAN,5.0,1.36993512e+00,3.56024040e-03,4.38005258e-03,7.42812707e-03,8.22582232e-03,6.52197792e-03,3.78337443e-03,1.06531815e-03,2.33173571e-04,2.38659829e-05,3.92897553e-06
4.50,69.98,MEAN,5.0,1.05974164e+00,2.63620588e-03,3.20537854e-03,5.45229473e-03,6.28317744e-03,5.10951083e-03,2.95923411e-03,8.34409662e-04,1.83856642e-04,1.97869713e-05,3.49847943e-06
4.50,79.98,MEAN,5.0,8.46057734e-01,1.99562679e-03,2.40979070e-03,4.10373515e-03,4.89304629e-03,4.08205944e-03,2.37289939e-03,6.71087770e-04,1.49478704e-04,1.69152852e-05,3.13963618e-06
4.50,89.95,MEAN,5.0,6.90398756e-01,1.53985322e-03,1.85173709e-03,3.15049884e-03,3.88489535e-03,3.31191609e-03,1.94034665e-03,5.50401140e-04,1.24359602e-04,1.45740188e-05,2.83909107e-06
4.50,100.00,MEAN,5.0,6.08415122e-01,1.28108907e-03,1.53136714e-03,2.60363034e-03,3.32184470e-03,2.90121106e-03,1.70325363e-03,4.88516598e-04,1.11501144e-04,1.35481290e-05,2.76744708e-06
4.50,109.90,MEAN,5.0,5.42625251e-01,1.06925016e-03,1.27022111e-03,2.16211766e-03,2.85416663e-03,2.55493187e-03,1.52152581e-03,4.37098508e-04,1.00897249e-04,1.26555005e-05,2.68089204e-06
4.50,119.95,MEAN,5.0,4.86183258e-01,8.99247677e-04,1.06360244e-03,1.81334035e-03,2.47046852e-03,2.25932821e-03,1.35138572e-03,3.94347711e-04,9.19346706e-05,1.18871933e-05,2.60963233e-06
4.50,149.97,MEAN,5.0,3.61326655e-01,5.49388196e-04,6.42213343e-04,1.09844755e-03,1.63071973e-03,1.59176637e-03,9.85551503e-04,2.97289331e-04,7.15944446e-05,1.00133483e-05,2.40868121e-06
4.50,199.99,MEAN,5.0,2.37738764e-01,2.55022985e-04,2.93210369e-04,5.03360723e-04,8.56208085e-04,9.33209872e-04,6.16991704e-04,1.98645771e-04,5.05218592e-05,7.86827127e-06,2.13638404e-06
4.50,250.03,MEAN,5.0,1.65196180e-01,1.24416885e-04,1.41247030e-04,2.41812821e-04,4.67712874e-04,5.67386926e-04,4.03440343e-04,1.39952069e-04,3.76685866e-05,6.37351958e-06,1.89268929e-06
4.50,299.92,MEAN,5.0,1.19674053e-01,6.18414017e-05,6.94511313e-05,1.19723478e-04,2.61444388e-04,3.51786626e-04,2.70819121e-04,1.02136113e-04,2.91460244e-05,5.28663497e-06,1.69191805e-06
4.50,349.95,MEAN,5.0,8.85115610e-02,3.14108236e-05,3.50170313e-05,6.03363903e-05,1.48689166e-04,2.22064596e-04,1.85686070e-04,7.60815452e-05,2.30186222e-05,4.43996273e-06,1.51977510e-06
4.50,399.94,MEAN,5.0,6.66192900e-02,1.61391004e-05,1.79258321e-05,3.08020289e-05,8.52666743e-05,1.42488339e-04,1.29681888e-04,5.76871820e-05,1.83856642e-05,3.77554216e-06,1.35918735e-06
4.50,500.03,MEAN,5.0,3.92193146e-02,4.42261693e-06,4.81924854e-06,8.33449565e-06,2.88987677e-05,5.91805946e-05,6.47708094e-05,3.44333538e-05,1.23475082e-05,2.77894099e-06,1.09819465e-06
4.50,749.89,MEAN,5.0,1.19536353e-02,1.89705239e-07,2.02992188e-07,3.52191868e-07,2.11047069e-06,7.25235951e-06,1.26759152e-05,1.07270258e-05,5.12718897e-06,1.40306995e-06,6.55208201e-07
4.50,1000.00,MEAN,5.0,4.02902535e-03,8.84462297e-09,9.28280707e-09,1.61576920e-08,1.65492884e-07,9.48591709e-07,2.69450705e-06,3.67857254e-06,2.34681753e-06,7.50722313e-07,3.94256920e-07
4.60,0.10,MEAN,5.0,9.87188301e+01,3.06746294e-01,4.67712874e-01,6.55660959e-01,3.87328384e-01,2.42649457e-01,1.82885521e-01,6.66621512e-02,1.40824859e-02,5.64910080e-04,2.92468653e-05
4.60,1.00,MEAN,5.0,8.82470101e+01,2.52568581e-01,3.81047682e-01,5.60246722e-01,3.44175003e-01,2.18212349e-01,1.64732513e-01,5.97419404e-02,1.27197719e-02,5.22611936e-04,2.76744708e-05
4.60,2.00,MEAN,5.0,7.22603399e+01,1.88486098e-01,2.77766153e-01,4.32393667e-01,2.82995366e-01,1.83560539e-01,1.36514670e-01,4.94400982e-02,1.06580886e-02,4.62146134e-04,2.59525075e-05
