rup_mag,dist_rjb,result_type,damping,pgv,pga,0.03,0.05,0.1,0.2,0.5,1.0,2.0,5.0
3.0,  2.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
3.0,  5.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
3.0, 20.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
3.0, 50.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
3.0,120.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
4.0,  2.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
4.0,  5.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
4.0, 20.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
4.0, 50.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
4.0,120.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
5.0,  2.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
5.0,  5.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
5.0, 20.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
5.0, 50.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
5.0,120.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
6.0,  2.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
6.0,  5.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
6.0, 20.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
6.0, 50.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
6.0,120.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
7.0,  2.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
7.0,  5.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
7.0, 20.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
7.0, 50.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
7.0,120.0,INTRA_EVENT_STDDEV,5.0, 0.3569007E+00, 0.3545981E+00, 0.3891369E+00, 0.3453878E+00, 0.3177567E+00, 0.3246645E+00, 0.3707162E+00, 0.4075576E+00, 0.4397937E+00, 0.4720299E+00
