id,lon,lat,number,structural,retrofitted,taxonomy
a1,83.31382,29.46117,2.0,11340.0,5670.0,Adobe
a2,83.31382,29.23617,2.0,11340.0,5670.0,Adobe
a3,83.53882,29.08617,2.0,11340.0,5670.0,Adobe
a4,80.68882,28.93617,2.0,11340.0,5670.0,Adobe
a5,83.53882,29.01117,2.0,11340.0,5670.0,Adobe
a6,81.13882,28.78617,2.0,11340.0,5670.0,Adobe
a7,83.98882,28.48617,2.0,11340.0,5670.0,Adobe
a8,83.23882,29.38617,2.0,11340.0,5670.0,Adobe
a9,83.01382,29.08617,2.0,11340.0,5670.0,Adobe
a10,83.31382,28.71117,2.0,11340.0,5670.0,Adobe
a11,86.91382,27.73617,2.0,11340.0,5670.0,Adobe
a12,83.16382,29.31117,3.0,11340.0,5670.0,Adobe
a13,80.61382,28.93617,3.0,11340.0,5670.0,Adobe
a14,83.91382,29.01117,3.0,11340.0,5670.0,Adobe
a15,82.03882,30.28617,3.0,11340.0,5670.0,Adobe
a16,83.38882,29.31117,3.0,11340.0,5670.0,Adobe
a17,80.68882,28.86117,3.0,11340.0,5670.0,Adobe
a18,83.46382,28.71117,3.0,11340.0,5670.0,Adobe
a19,84.13882,28.41117,3.0,11340.0,5670.0,Adobe
a20,83.08882,29.16117,3.0,11340.0,5670.0,Adobe
a21,84.13882,28.78617,3.0,11340.0,5670.0,Adobe
a22,85.11382,28.33617,3.0,11340.0,5670.0,Adobe
a23,84.06382,29.01117,3.0,11340.0,5670.0,Adobe
a24,83.01382,29.61117,3.0,11340.0,5670.0,Adobe
a25,86.83882,27.73617,3.0,11340.0,5670.0,Adobe
a26,84.36382,28.78617,3.0,11340.0,5670.0,Adobe
a27,84.13882,28.56117,3.0,11340.0,5670.0,Adobe
a28,83.16382,29.01117,4.0,11340.0,5670.0,Adobe
a29,83.01382,29.23617,4.0,11340.0,5670.0,Adobe
a30,82.86382,28.86117,4.0,11340.0,5670.0,Adobe
a31,85.03882,28.56117,4.0,11340.0,5670.0,Adobe
a32,86.08882,28.03617,4.0,11340.0,5670.0,Adobe
a33,83.31382,28.78617,4.0,11340.0,5670.0,Adobe
a34,81.88882,28.18617,4.0,11340.0,5670.0,Adobe
a35,83.23882,29.31117,4.0,11340.0,5670.0,Adobe
a36,84.13882,29.16117,4.0,11340.0,5670.0,Adobe
a37,84.21382,28.78617,4.0,11340.0,5670.0,Adobe
a38,86.83882,27.96117,4.0,11340.0,5670.0,Adobe
a39,87.58882,27.73617,4.0,11340.0,5670.0,Adobe
a40,82.48882,29.98617,4.0,11340.0,5670.0,Adobe
a41,83.31382,28.93617,4.0,11340.0,5670.0,Adobe
a42,81.96382,30.06117,4.0,11340.0,5670.0,Adobe
a43,82.93882,29.08617,4.0,11340.0,5670.0,Adobe
a44,80.98882,28.78617,4.0,11340.0,5670.0,Adobe
a45,84.73882,28.48617,4.0,11340.0,5670.0,Adobe
a46,87.06382,27.73617,4.0,11340.0,5670.0,Adobe
a47,83.16382,29.23617,4.0,11340.0,5670.0,Adobe
a48,84.06382,28.41117,4.0,11340.0,5670.0,Adobe
a49,85.18882,28.33617,4.0,11340.0,5670.0,Adobe
a50,82.63882,29.76117,5.0,11340.0,5670.0,Adobe
