id,lon,lat,taxonomy,number,type,start_node,end_node,supply_or_demand,length,parent_id
E1,22.95701388,40.61306314,Road,1,edge,A,N3,NA,0.6446899,E1
E2,22.96321918,40.61161722,Road,1,edge,N3,B,NA,0.4552701,E2
E3,22.96727416,40.61120544,bridge1,1,edge,B,C,NA,0.2434204,E3
E4,22.9728404,40.61105015,Road,1,edge,C,N6,NA,0.7006018,E4
E5,22.98089538,40.61072113,Road,1,edge,N6,D,NA,0.6648433,E5
E6,22.95627043,40.60437722,Road,1,edge,E,N4,NA,0.4870278,E6
E7,22.96238489,40.60415962,Road,1,edge,N4,F,NA,0.5491336,E7
E8,22.96773581,40.60404568,bridge2,1,edge,F,G,NA,0.3574214,E8
E9,22.97346075,40.60376068,Road,1,edge,G,N7,NA,0.6153427,E9
E10,22.98097763,40.60294426,Road,1,edge,N7,H,NA,0.6705504,E10
E11,22.95627465,40.59309769,Road,1,edge,I,N5,NA,0.594961,E11
E12,22.96232383,40.59159627,Road,1,edge,N5,J,NA,0.5293418,E12
E13,22.9677435,40.59153866,bridge3,1,edge,J,K,NA,0.3883642,E13
E14,22.97389327,40.59131871,Road,1,edge,K,N8,NA,0.6541184,E14
E15,22.98143547,40.59055731,Road,1,edge,N8,L,NA,0.6373846,E15
E16,22.95336415,40.61157775,Road,1,edge,A,N1,NA,0.5471156,E16
E17,22.95334825,40.60678942,Road,1,edge,N1,E,NA,0.5165039,E17
E18,22.95334825,40.60176872,Road,1,edge,E,N2,NA,0.5986712,E18
E19,22.95332649,40.59682928,Road,1,edge,N2,I,NA,0.4984119,E19
E20,22.96573116,40.60758889,Road,1,edge,B,F,NA,0.7908574,E20
E21,22.96553738,40.59780563,Road,1,edge,F,J,NA,1.3822153,E21
E22,22.96927882,40.60766223,Road,1,edge,C,G,NA,0.8052451,E22
E23,22.96994193,40.59777872,Road,1,edge,G,K,NA,1.3956685,E23
E24,22.98474101,40.60846053,Road,1,edge,D,N9,NA,0.4762263,E24
E25,22.98477129,40.60437338,Road,1,edge,N9,H,NA,0.432086,E25
E26,22.98471932,40.59909863,Road,1,edge,H,N10,NA,0.7403006,E26
E27,22.98483937,40.59286989,Road,1,edge,N10,L,NA,0.6453263,E27
E28,22.99149861,40.61353966,Road,1,edge,D,N,NA,1.3048564,E28
E29,22.99223645,40.59223516,Road,1,edge,L,M,NA,1.305299,E29
E30,22.95609687,40.59044217,Road,1,edge,N5,O,NA,0.5855264,E30
E31,22.9518272,40.58664342,bridge4,1,edge,O,P,NA,0.6168986,E31
E32,22.95194412,40.58103113,Road,1,edge,P,Q,NA,0.6970671,E32
E33,22.95926605,40.60069475,Road,1,edge,N4,N11,NA,0.7988186,E33
E34,22.95929203,40.59435466,Road,1,edge,N11,N5,NA,0.6097395,E34
E35,22.97724262,40.60112601,Road,1,edge,N7,N12,NA,0.518894,E35
E36,22.97758041,40.5949678,Road,1,edge,N12,N8,NA,0.8500631,E36
E37,22.95629,40.60917,Road,1,edge,A,N4,NA,1.185965,E37
E38,22.98095,40.60703,Road,1,edge,N7,D,NA,1.02923,E38
