id,lon,lat,taxonomy,number,type,start_node,end_node,supply_or_demand,length,parent_id
A,22.9534273,40.61404073,connection,1,node,NA,NA,connection,0,A
B,22.96583789,40.61114889,connection,1,node,NA,NA,connection,0,B
C,22.96871043,40.61126198,connection,1,node,NA,NA,connection,0,C
D,22.98482039,40.61060394,connection,1,node,NA,NA,connection,0,D
H,22.98488094,40.60242966,connection,1,node,NA,NA,connection,0,H
L,22.98512105,40.58997216,connection,1,node,NA,NA,connection,0,L
E,22.9533955,40.60446407,connection,1,node,NA,NA,connection,0,E
F,22.96562442,40.60402888,connection,1,node,NA,NA,connection,0,F
G,22.9698472,40.60406249,connection,1,node,NA,NA,connection,0,G
I,22.95335199,40.5945852,connection,1,node,NA,NA,connection,0,I
J,22.96545034,40.59158237,connection,1,node,NA,NA,connection,0,J
K,22.97003666,40.59149495,connection,1,node,NA,NA,connection,0,K
M,22.99935184,40.59449816,TAZ,1,node,NA,NA,connection,0,M
N,22.99817682,40.61647539,TAZ,1,node,NA,NA,TAZ,0,N
O,22.95299642,40.58927417,connection,1,node,NA,NA,connection,0,O
P,22.95065797,40.58401266,connection,1,node,NA,NA,connection,0,P
N1,22.95330099,40.60911476,TAZ,1,node,NA,NA,TAZ,0,N1
N2,22.95330099,40.59907337,TAZ,1,node,NA,NA,TAZ,0,N2
N3,22.96060046,40.61208556,TAZ,1,node,NA,NA,TAZ,0,N3
N4,22.95914535,40.60429036,TAZ,1,node,NA,NA,TAZ,0,N4
N5,22.95919732,40.59161017,TAZ,1,node,NA,NA,TAZ,0,N5
N6,22.97697037,40.61083832,TAZ,1,node,NA,NA,TAZ,0,N6
N7,22.97707431,40.60345887,TAZ,1,node,NA,NA,TAZ,0,N7
N8,22.97774989,40.59114246,TAZ,1,node,NA,NA,TAZ,0,N8
N9,22.98466163,40.60631711,TAZ,1,node,NA,NA,TAZ,0,N9
N10,22.9845577,40.59576761,TAZ,1,node,NA,NA,TAZ,0,N10
Q,22.95323027,40.5780496,TAZ,1,node,NA,NA,TAZ,0,Q
N11,22.95938674,40.59709914,TAZ,1,node,NA,NA,TAZ,0,N11
N12,22.97741094,40.59879315,TAZ,1,node,NA,NA,TAZ,0,N12
