Region,SigEp1_interface,SigEp2_interface,T1_interface,T2_interface,SigEp1_intraslab,SigEp2_intraslab,T1_intraslab,T2_intraslab
Global,0.4,0.4,0.2,0.4,0.35,0.22,0.15,2
AK,0.15,0.1,1,4,0.15,0.12,0.5,1
Aleutian,0.15,0.1,1,4,0.25,0.18,0.3,0.8
Cascadia,0.43,0.33,0.2,0.5,0.35,0.16,0.2,3
CAM_N,0.2,0.1,0.7,4,0.25,0.19,0.3,0.8
CAM_S,0.2,0.1,0.7,4,0.25,0.19,0.3,0.8
JP_Pac,0.13,0.1,0.7,4,0.13,0.11,0.3,0.8
JP_Phi,0.13,0.1,0.7,4,0.21,0.15,0.3,0.7
SA_N,0.13,0.1,0.7,4,0.21,0.15,0.3,0.7
SA_S,0.13,0.1,0.7,4,0.21,0.15,0.3,0.7
Taiwan,0.23,0.14,0.6,3,0.13,0.11,0.3,0.8
