          IMT         gamma             C between_event  within_event
          PGA -0.0026198495          0.07  0.5033108632  0.4132596786
          PGV -0.0009722153  0.1191286039  0.5218346728  0.4201627477
 0.0199999996   -0.00255097          0.08   0.434517978  0.4060360257
 0.0219635405 -0.0028655081          0.08  0.4414650842  0.3960467911
 0.0273298714 -0.0034860522          0.08  0.4333902534  0.3867789171
  0.032959789 -0.0042059881          0.08  0.4213125462  0.3805845429
 0.0423190892 -0.0044267695          0.08  0.4201842329  0.3830262601
 0.0494804569 -0.0044325523          0.08  0.4051732725  0.4052914118
 0.0655307993 -0.0041926128          0.08  0.4061046682  0.4189639835
 0.0815660655 -0.0038927948          0.08  0.4166794867  0.4301011881
  0.098328419 -0.0031189701  0.0102586629  0.4363099086  0.4483243649
 0.1262626201 -0.0025450292 -0.1249768508  0.4506224218  0.4482847142
 0.1569858789 -0.0021024299 -0.2131696916  0.4685743049  0.4456731952
    0.1953125 -0.0017635881 -0.2739478626  0.4880250263  0.4374072177
 0.2512562871 -0.0016948487 -0.3096184536  0.5017809999  0.4319409058
 0.3030303121 -0.0017549953 -0.3122492314  0.5031615655  0.4341153155
 0.3322259188 -0.0016670155 -0.3060775059  0.5094457446  0.4294465128
  0.375939846 -0.0015842365  -0.290042382  0.5212705395  0.4151955707
 0.4694835544 -0.0016584356 -0.2388984573  0.5216041819  0.4183429195
          0.5 -0.0016893773 -0.2191873429  0.5249416622  0.4014083855
 0.5847952962 -0.0018834057 -0.1601611579   0.516858075  0.3844761797
 0.7246376872  -0.002157149 -0.0562637714  0.5106123405  0.3724612944
 0.9009009004 -0.0021038828  0.0765675914  0.5031367782  0.3696910047
 0.9900990129 -0.0020271071          0.15  0.4876053871   0.368773653
 1.1235954762 -0.0018837626  0.2394754008   0.487993558  0.3877953884
 1.3888888359 -0.0016322396  0.4224532666  0.4786530161  0.3847323206
 1.7543859482 -0.0015635434          0.45  0.4727133286   0.371490858
 1.9607843161 -0.0021356429          0.45  0.4839068978  0.4164243111
 2.7027027607 -0.0021871105          0.45  0.4866971251  0.4494510531
 3.3333332539 -0.0022166733          0.45  0.4900662522  0.4689174463
 4.1666669846 -0.0019570766          0.45  0.4923298711  0.4666122378
 5.2631578445 -0.0017023626          0.45  0.4877104075  0.4577538742
