IMT	c1	c2	c3	cn	cM	c4	c5	c6	chm	c7	c8	c9	c10	c11a	c11b	c11c	c11d	c1a	s1	s2	s3	s4	s5	s6	f3	f4	f5
EAS(0.100000)	 -3.650000	  1.270000	  3.485707	  1.552290	  6.798373	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000000	 -0.743232	 -0.031205	 -0.200000	  0.435485	  0.264594	  0.206825	  0.076926	  0.162700	  0.557087	  0.428744	  0.350000	  0.350000	  0.403571	  0.403571	  1.000000	 -0.000100	 -0.020000
EAS(0.102329)	 -3.647746	  1.270000	  3.481357	  1.562805	  6.786185	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000026	 -0.749511	 -0.031217	 -0.200000	  0.436075	  0.265782	  0.207919	  0.079101	  0.171104	  0.557087	  0.428744	  0.350891	  0.350891	  0.403859	  0.403859	  1.000000	 -0.000100	 -0.020000
EAS(0.104713)	 -3.645493	  1.270000	  3.476973	  1.573470	  6.774008	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000053	 -0.755784	 -0.031229	 -0.200000	  0.436648	  0.266948	  0.209011	  0.081277	  0.178404	  0.557087	  0.428744	  0.351782	  0.351782	  0.404147	  0.404147	  1.000000	 -0.000100	 -0.020000
EAS(0.107152)	 -3.643239	  1.270000	  3.472554	  1.584291	  6.761841	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000079	 -0.762052	 -0.031241	 -0.200000	  0.437203	  0.268091	  0.210101	  0.083452	  0.184616	  0.557087	  0.428744	  0.352673	  0.352673	  0.404435	  0.404435	  1.000000	 -0.000100	 -0.020000
EAS(0.109648)	 -3.640985	  1.270000	  3.468100	  1.595270	  6.749684	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000105	 -0.768316	 -0.031254	 -0.200000	  0.437741	  0.269211	  0.211187	  0.085626	  0.189759	  0.557087	  0.428744	  0.353564	  0.353564	  0.404723	  0.404723	  1.000000	 -0.000100	 -0.020000
EAS(0.112202)	 -3.638731	  1.270000	  3.463612	  1.606411	  6.737537	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000132	 -0.774576	 -0.031266	 -0.200000	  0.438261	  0.270308	  0.212270	  0.087800	  0.193858	  0.557087	  0.428744	  0.354455	  0.354455	  0.405011	  0.405011	  1.000000	 -0.000100	 -0.020000
EAS(0.114815)	 -3.636478	  1.270000	  3.459088	  1.617719	  6.725397	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000158	 -0.780835	 -0.031278	 -0.200000	  0.438765	  0.271382	  0.213350	  0.089971	  0.196938	  0.557087	  0.428744	  0.355346	  0.355346	  0.405299	  0.405299	  1.000000	 -0.000100	 -0.020000
EAS(0.117490)	 -3.634224	  1.270000	  3.454531	  1.629200	  6.713264	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000184	 -0.787094	 -0.031290	 -0.200000	  0.439252	  0.272433	  0.214427	  0.092141	  0.199027	  0.557087	  0.428744	  0.356237	  0.356237	  0.405587	  0.405587	  1.000000	 -0.000100	 -0.020000
EAS(0.120226)	 -3.631970	  1.270000	  3.449940	  1.640858	  6.701136	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000210	 -0.793355	 -0.031302	 -0.200000	  0.439722	  0.273462	  0.215501	  0.094308	  0.200151	  0.557087	  0.428744	  0.357128	  0.357128	  0.405875	  0.405875	  1.000000	 -0.000100	 -0.020000
EAS(0.123027)	 -3.629717	  1.270000	  3.445317	  1.652700	  6.689011	 -1.860000	  7.581800	  0.450000	  3.838000	 -0.000237	 -0.799619	 -0.031314	 -0.200000	  0.440175	  0.274469	  0.216571	  0.096471	  0.200337	  0.557087	  0.428744	  0.358019	  0.358019	  0.406163	  0.406163	  1.000000	 -0.000100	 -0.020000
