IMT      S1FS    S1RS      S2FS    S2RS    chi_delta_neg chi_delta_pos
PGA      3.454   1.964    1.151    1.060   2.649         2.835
0.010    3.454   1.964    1.151    1.060   2.649         2.835
0.020    3.454   1.964    1.151    1.060   2.649         2.835
0.030    3.454   1.964    1.151    1.060   2.649         2.835
0.040    3.454   1.964    1.151    1.060   2.649         2.835
0.050    3.454   1.964    1.151    1.060   2.649         2.835
0.075    3.454   1.964    1.151    1.060   2.649         2.835
0.100    3.454   1.964    1.151    1.060   2.649         2.835
0.150    3.454   2.036    1.151    1.060   2.452         2.602
0.200    3.454   2.152    1.151    1.060   2.192         2.301
0.300    3.454   2.344    1.151    1.060   1.864         1.931
0.400    3.454   2.471    1.151    1.060   1.697         1.745
0.500    3.454   2.557    1.151    1.060   1.599         1.638
0.750    3.454   2.681    1.151    1.060   1.477         1.505
1.000    3.454   2.747    1.151    1.060   1.419         1.443
1.500    3.454   2.816    1.151    1.060   1.363         1.383
2.000    3.454   2.851    1.151    1.060   1.336         1.354
3.000    3.454   2.888    1.151    1.060   1.310         1.326
5.000    3.454   2.917    1.151    1.060   1.289         1.304
7.500    3.454   2.932    1.151    1.060   1.279         1.293
10.00    3.454   2.940    1.151    1.060   1.274         1.288
