IMT	c0	c1	c2	c3	c5	c6	c7	b1	b2	c4	tau	phis2s	phiss
FAS(0.100000)	2.502721022594540212	-3.019871021031180103	-0.699489878261237874	-0.753382658510122871	-0.000663526369472840	-0.447088569310536033	0.022658004530799799	-0.600521004853297069	-0.616534271818211077	4.695512756528509968	0.588480822628952960	0.433800904045682001	0.618731304409973037
FAS(0.106365)	2.493093234671220237	-2.950991457891970260	-0.698331013803817902	-0.702345053547144937	-0.000575375766529017	-0.473010336996122993	0.008472958415733959	-0.558480811812944955	-0.633469461477807028	4.957987757942290408	0.599289476605178950	0.448806612314632980	0.602762279580551064
FAS(0.113136)	2.200097814344990077	-2.752070777717450234	-0.665213553374781053	-0.538500924250570057	-0.000351531830222749	-0.512475440993337972	0.001339078393139250	-0.555657634468791017	-0.668379380917146992	5.483681114674491042	0.566032844137735913	0.466240117754409988	0.598172081119088928
FAS(0.120337)	2.034254128263019989	-2.515671395969700352	-0.635100535813052924	-0.399333072210403983	0.000067971644099580	-0.559914435537282928	-0.005286554502698210	-0.580985931071911987	-0.720196134071792060	5.849424106305820104	0.590205620260948027	0.480868159478248958	0.599358224410653007
FAS(0.127997)	1.141053806149149752	-1.603872458039000026	-0.533125263623092871	-0.093856302508275896	0.000567573193981721	-0.601643463294283976	-0.001066708448104160	-0.599125945606298949	-0.807875445247379087	5.479585767835110310	0.619351025773987929	0.513743008213592978	0.595123266923756056
FAS(0.136145)	1.097930883567810101	-1.443321597298969916	-0.513488251279912045	0.000711116989402148	0.000471478220459774	-0.649213142597603099	-0.007345942610395500	-0.621231011766171015	-0.806566765858632961	5.655956204038489865	0.609747368343163898	0.547180999785885969	0.579869067743471023
FAS(0.144811)	1.483404727375449816	-1.566081523484779803	-0.524719921624065000	-0.039643110238059401	0.000094656593009214	-0.685792316316777062	-0.014700859926340499	-0.668480204675433898	-0.770633955866142029	6.277617893464900511	0.577565513334653891	0.571829774674226021	0.574022902559107040
FAS(0.154028)	1.722276945857439845	-1.532084517949950042	-0.529629551808791010	-0.082756418078219401	-0.000249112362031415	-0.729455198663002125	-0.020041529947657601	-0.687414128008660974	-0.743207187104985012	7.372562584721709555	0.568067224541579985	0.586442004940022965	0.566853276929819905
FAS(0.163833)	1.460061832200230114	-1.045958970972379998	-0.486671789668866983	0.050119627190902502	0.000079904794452668	-0.757136513057866001	-0.019793028587677799	-0.721625679328829928	-0.805301862987097938	8.475856774799581217	0.567493377501720020	0.591049931388512140	0.560264230585062029
FAS(0.174261)	1.578707195963670040	-0.976147429486504903	-0.482629149981250005	0.020786800183539698	0.000335719591923292	-0.788054689949609033	-0.017829642992326700	-0.735112011550997035	-0.880703399477094084	9.400855804550859673	0.558559224687700029	0.595600285094823989	0.552429955919354954
FAS(0.185354)	1.182895724732189846	-0.585629210490318020	-0.437617651848761002	0.178991073840818971	-0.000098018019830675	-0.811825974939115902	-0.014908985772967599	-0.732046838351504969	-0.856809026037520072	9.634206805427080411	0.551310605088821015	0.595140813656870993	0.542029860790392948
FAS(0.197152)	1.028944878879419988	-0.401910184286409011	-0.418764009782740976	0.249816920751483956	-0.000102009340222675	-0.831471942021133059	-0.017980135641335201	-0.723225281340862058	-0.882838238408401921	9.488215067692301830	0.549276058939023981	0.589499687309888998	0.534847559293664010
FAS(0.209701)	1.008199243530689904	-0.281530366031195023	-0.403386697603251021	0.274326485622819971	0.000282642262354618	-0.857238397358372040	-0.013728189407098801	-0.748505165535349959	-0.954770187899388945	9.074101982989120074	0.537859463486816014	0.583163852557681994	0.526973023366866022
FAS(0.223050)	0.952214083535355083	-0.100524685664820007	-0.381329592135126072	0.292816061786009996	0.000465364877644078	-0.878500388719588021	-0.004891352642382350	-0.779028662494515967	-0.986529146516370026	8.908124929344319654	0.536849168508442998	0.592284479109781992	0.513297762497532117
FAS(0.237248)	1.178575027637770001	-0.160341960573721992	-0.390391125691087915	0.173209062877783038	0.000122741299879163	-0.904451559537362004	0.002093170920431040	-0.781467095295025005	-0.961359950176325029	8.723395906403499822	0.513502594537827983	0.602816924830573031	0.507707468277024954
FAS(0.252349)	0.708780135345348006	0.248824882663123970	-0.345601421855248003	0.325379468791085036	-0.000450021263163198	-0.912880947534275955	0.000957617117364880	-0.754971372196290069	-0.922064611722420047	8.629659190302980676	0.493815493038287034	0.613268572027439895	0.502845184828948022
FAS(0.268412)	1.004978293941600098	0.122070719138283004	-0.364488055989922954	0.230865142691424968	-0.000863719788451891	-0.911890525934737961	-0.005947828907500821	-0.734667926891354073	-0.891611724916564929	8.583764776695399945	0.481502175277732092	0.621305501892941092	0.496708426688614035
FAS(0.285497)	1.261065086886659969	0.032291382824867002	-0.375802863118586017	0.152242049392573991	-0.001050919809684140	-0.915325187417972086	-0.005031269658473920	-0.744518105837879030	-0.886561792470585974	8.283252334204579626	0.467006407858811035	0.631639083264063927	0.486605406036418997
