per	-1	0	0.01	0.02	0.03	0.04	0.05	0.075	0.1	0.15	0.2	0.25	0.3	0.4	0.5	0.75	1	1.5	2	3	4	5	7.5	10
VLIN	400	865.1	865.1	865.1	907.8	994.5	1053.5	1085.7	1032.5	877.6	748.2	654.3	587.1	503	456.6	410.5	400	400	400	400	400	400	400	400
b	-1.955	-1.186	-1.186	-1.219	-1.273	-1.308	-1.346	-1.471	-1.624	-1.931	-2.188	-2.381	-2.518	-2.657	-2.669	-2.401	-1.955	-1.025	-0.299	0	0	0	0	0
a1	5.7578	0.804	0.8111	0.855	0.962	1.037	1.133	1.375	1.563	1.716	1.687	1.646	1.601	1.511	1.397	1.137	0.915	0.510	0.192	-0.280	-0.639	-0.936	-1.527	-1.993
a2	-0.9046	-0.9679	-0.9679	-0.9774	-1.0024	-1.0289	-1.0508	-1.081	-1.0833	-1.0357	-0.97	-0.9202	-0.8974	-0.8677	-0.8475	-0.8206	-0.8088	-0.7995	-0.796	-0.796	-0.796	-0.796	-0.796	-0.796
a8	-0.12	-0.0372	-0.0372	-0.0372	-0.0372	-0.0315	-0.0271	-0.0191	-0.0166	-0.0254	-0.0396	-0.0539	-0.0656	-0.0807	-0.0924	-0.1137	-0.1289	-0.1534	-0.1708	-0.1954	-0.2128	-0.2263	-0.2509	-0.2683
a10	1.539	0.9445	0.9445	0.9834	1.0471	1.0884	1.1333	1.2808	1.4613	1.8071	2.0773	2.2794	2.4201	2.551	2.5395	2.1493	1.5705	0.3991	-0.6072	-0.96	-0.96	-0.9208	-0.77	-0.663
a12	0.08	0	0	0	0	0	0	0	0	0.0181	0.0309	0.0409	0.0491	0.0619	0.0719	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
a13	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
a14	0.7	1.08	1.08	1.08	1.1331	1.1708	1.2	1.2	1.2	1.1683	1.1274	1.0956	1.0697	1.0288	0.9971	0.9395	0.8985	0.8409	0.8	0.4793	0.2518	0.0754	0	0
a15	-0.39	-0.35	-0.35	-0.35	-0.35	-0.35	-0.35	-0.35	-0.35	-0.35	-0.35	-0.35	-0.35	-0.35	-0.3191	-0.2629	-0.223	-0.1668	-0.127	-0.0708	-0.0309	0	0	0
a16	0.63	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.8423	0.7458	0.5704	0.446	0.2707	0.1463	-0.0291	-0.1535	-0.25	-0.25	-0.25
a18	0	-0.0067	-0.0067	-0.0067	-0.0067	-0.0067	-0.0076	-0.0093	-0.0093	-0.0093	-0.0083	-0.0069	-0.0057	-0.0039	-0.0025	0	0	0	0	0	0	0	0	0
s1e	0.59	0.59	0.59	0.59	0.605	0.615	0.623	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.63	0.615	0.604	0.589	0.578	0.57	0.611	0.64
s2e	0.47	0.47	0.47	0.47	0.478	0.483	0.488	0.495	0.501	0.509	0.514	0.518	0.522	0.527	0.532	0.539	0.545	0.552	0.558	0.565	0.57	0.587	0.618	0.64
s1m	0.576	0.576	0.576	0.576	0.591	0.602	0.61	0.617	0.617	0.616	0.614	0.612	0.611	0.608	0.606	0.602	0.594	0.566	0.544	0.527	0.515	0.51	0.572	0.612
s2m	0.453	0.453	0.453	0.453	0.461	0.466	0.471	0.479	0.485	0.491	0.495	0.497	0.499	0.501	0.504	0.506	0.503	0.497	0.491	0.5	0.505	0.529	0.579	0.612
s3	0.42	0.47	0.42	0.42	0.462	0.492	0.515	0.55	0.55	0.55	0.52	0.497	0.479	0.449	0.426	0.385	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35
s4	0.3	0.3	0.3	0.3	0.305	0.309	0.312	0.317	0.321	0.326	0.329	0.332	0.335	0.338	0.341	0.346	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35
rho	0.74	1	1	1	0.991	0.982	0.973	0.952	0.929	0.896	0.874	0.856	0.841	0.818	0.783	0.68	0.607	0.504	0.431	0.328	0.255	0.2	0.2	0.2
