rup_mag,rup_rake,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,0.05,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.25,1.5,2,2.5,3,4,5,pga
5,0,5,5,700.0,MEAN,5,0.175243505,0.245356876,0.228057901,0.191967798,0.16352644,0.135429323,0.106687406,0.080237166,0.061700044,0.049524242,0.039718456,0.032575306,0.026361052,0.015259273,0.010004678,0.004661515,0.00306669,0.002155669,0.001287628,0.000983094,0.110309306
5,0,5,10,700.0,MEAN,5,0.095791144,0.137766947,0.127807678,0.107742316,0.091246087,0.075089909,0.057858614,0.042788919,0.032382511,0.025750347,0.020569293,0.016884587,0.013688743,0.007875825,0.005167888,0.002414872,0.001596725,0.001124454,0.000681394,0.000531035,0.059433283
5,0,5,30,700.0,MEAN,5,0.030581732,0.044184848,0.041339982,0.035240835,0.030019801,0.024845515,0.019097287,0.014128841,0.010661241,0.008452754,0.006750121,0.005553484,0.004517208,0.00259316,0.00169779,0.000798007,0.00053079,0.000376756,0.000228934,0.000180004,0.019076352
5,0,5,60,700.0,MEAN,5,0.01280805,0.018014709,0.017164229,0.014904839,0.012932614,0.01090491,0.008579195,0.006480214,0.004953917,0.003948041,0.003165081,0.002611983,0.002132755,0.001227565,0.000799866,0.000378686,0.000253152,0.000181852,0.000109277,8.52E-05,0.008213405
5,0,5,100,700.0,MEAN,5,0.005933773,0.00799389,0.007812847,0.006956344,0.006198873,0.005370111,0.004382591,0.003417212,0.002667428,0.002144543,0.001729648,0.00143315,0.001175946,0.000680034,0.000440157,0.000210338,0.000141446,0.000103247,6.09E-05,4.68E-05,0.00396425
5,0,5,120,700.0,MEAN,5,0.0043345,0.005710245,0.005653157,0.005097017,0.004604003,0.004043692,0.003363253,0.002665609,0.002103356,0.001698831,0.001374428,0.001141113,0.000938593,0.000544118,0.000350999,0.000168514,0.000113649,8.36E-05,4.89E-05,3.73E-05,0.002957073
5,0,5,150,700.0,MEAN,5,0.002842369,0.003619495,0.003653364,0.003356652,0.003094638,0.00277501,0.002375389,0.001929815,0.001547963,0.00125902,0.001023409,0.000852238,0.000703536,0.000409387,0.000262754,0.000127024,8.60E-05,6.41E-05,3.69E-05,2.78E-05,0.002001435
5,0,5,200,700.0,MEAN,5,0.001527961,0.001837637,0.001915832,0.001816486,0.001733057,0.001609011,0.001445533,0.001224185,0.001009449,0.000830762,0.000680654,0.000569663,0.000473099,0.000277057,0.000176322,8.62E-05,5.88E-05,4.47E-05,2.52E-05,1.86E-05,0.001134506
5,0,20,5,700.0,MEAN,5,0.188543105,0.26345001,0.245930641,0.206526287,0.175901561,0.145670923,0.113607907,0.084833167,0.064925132,0.052008783,0.041638123,0.03419758,0.027719534,0.016044034,0.010479833,0.004859765,0.003188014,0.002226208,0.001326181,0.001008488,0.118378712
5,0,20,10,700.0,MEAN,5,0.103060926,0.147926168,0.137823861,0.115913306,0.09815129,0.08076842,0.061611736,0.045239898,0.034075158,0.027042191,0.02156345,0.017725448,0.014394177,0.008280871,0.005413327,0.002517574,0.001659894,0.00116125,0.000701791,0.00054475,0.063780934
5,0,20,30,700.0,MEAN,5,0.032902639,0.047443138,0.044579769,0.037913437,0.032291592,0.026724409,0.020336076,0.014938153,0.011218504,0.008876815,0.007076366,0.005830042,0.004749993,0.002726516,0.001778419,0.000831946,0.00055179,0.000389085,0.000235789,0.000184651,0.020471821
5,0,20,60,700.0,MEAN,5,0.013780074,0.019343153,0.018509379,0.016035196,0.013911313,0.011729573,0.009135702,0.006851405,0.005212865,0.0041461,0.00331805,0.00274206,0.002242664,0.001290698,0.00083786,0.000394795,0.000263165,0.000187799,0.000112548,8.74E-05,0.008814231
5,0,20,100,700.0,MEAN,5,0.006384099,0.008583373,0.008425135,0.007483904,0.006667983,0.005776213,0.004666878,0.003612951,0.002806852,0.002252136,0.001813245,0.001504522,0.00123655,0.000715006,0.000461058,0.000219282,0.000147041,0.000106624,6.28E-05,4.80E-05,0.004254239
5,0,20,120,700.0,MEAN,5,0.004663455,0.006131326,0.006096192,0.005483565,0.004952419,0.004349488,0.003581414,0.002818294,0.002213303,0.001784062,0.001440859,0.001197946,0.000986962,0.000572098,0.000367668,0.000175679,0.000118141,8.64E-05,5.04E-05,3.82E-05,0.003173386
5,0,20,150,700.0,MEAN,5,0.003058085,0.003886409,0.003939676,0.003611216,0.003328831,0.002984868,0.002529475,0.002040351,0.001628874,0.001322184,0.001072872,0.000894685,0.00073979,0.000430444,0.000275232,0.000132426,8.94E-05,6.62E-05,3.80E-05,2.85E-05,0.002147842
5,0,20,200,700.0,MEAN,5,0.001643926,0.001973147,0.002065971,0.001954249,0.001864212,0.001730691,0.001539295,0.001294302,0.001062207,0.000872439,0.000713554,0.000598024,0.000497484,0.000291312,0.000184697,8.99E-05,6.11E-05,4.61E-05,2.59E-05,1.90E-05,0.00121749
5,0,100,5,700.0,MEAN,5,0.607727614,0.82243029,0.822419028,0.665159785,0.565168645,0.467663757,0.310552526,0.206827827,0.146706584,0.113819331,0.088607445,0.074422232,0.061938206,0.035792461,0.02201784,0.009463009,0.005931031,0.003726616,0.00212613,0.00151657,0.366313105
5,0,100,10,700.0,MEAN,5,0.332194299,0.461791425,0.460897901,0.373322446,0.315358504,0.259300073,0.168418541,0.110297294,0.076997145,0.059180865,0.045887807,0.038574872,0.032163214,0.018473697,0.011373257,0.00490226,0.003088094,0.001943907,0.001125112,0.000819201,0.197364928
5,0,100,30,700.0,MEAN,5,0.106054437,0.148106574,0.149079555,0.122107882,0.10375238,0.08579643,0.055589626,0.036420016,0.025349636,0.019426577,0.015058772,0.012687598,0.010613678,0.006082565,0.003736411,0.001619977,0.001026559,0.000651321,0.000378017,0.00027768,0.063348391
5,0,100,60,700.0,MEAN,5,0.044417081,0.060384841,0.061897368,0.051644621,0.044696813,0.037656799,0.024972864,0.016704081,0.011779123,0.009073602,0.007060933,0.005967393,0.005011136,0.002879413,0.001760312,0.000768745,0.000489594,0.000314372,0.000180433,0.000131488,0.027274911
5,0,100,100,700.0,MEAN,5,0.020577751,0.026795315,0.028174549,0.02410344,0.021424117,0.01854404,0.012757119,0.008808567,0.006342436,0.004928704,0.003858648,0.003274216,0.002763018,0.001595102,0.000968673,0.000426992,0.000273561,0.000178486,0.000100628,7.22E-05,0.013164411
5,0,100,120,700.0,MEAN,5,0.015031637,0.019140595,0.020386322,0.017660938,0.015912043,0.013963668,0.009789972,0.006871157,0.005001242,0.003904348,0.003066198,0.002607017,0.00220533,0.001276293,0.000772457,0.000342087,0.000219797,0.000144557,8.07E-05,5.75E-05,0.009819788
5,0,100,150,700.0,MEAN,5,0.009857057,0.012132459,0.013174692,0.011630652,0.010695487,0.009582658,0.006914425,0.004974485,0.00368064,0.002893553,0.002283116,0.001947048,0.001653028,0.000960277,0.000578257,0.000257865,0.00016639,0.000110755,6.10E-05,4.29E-05,0.006646328
5,0,100,200,700.0,MEAN,5,0.005298827,0.006159713,0.006908847,0.00629405,0.00598968,0.005556224,0.004207748,0.003155584,0.0024002,0.001909308,0.001518469,0.001301457,0.001111599,0.000649879,0.000388039,0.000175045,0.000113755,7.73E-05,4.16E-05,2.86E-05,0.003767432
5,0,150,5,700.0,MEAN,5,0.876097243,1.173814337,1.199307731,0.958651086,0.81393015,0.673339486,0.425218466,0.273249908,0.189271943,0.145381638,0.112192481,0.094893459,0.079629725,0.04599292,0.027767121,0.011653896,0.007200841,0.004377603,0.00246404,0.001722802,0.521385202
5,0,150,10,700.0,MEAN,5,0.478889723,0.659092224,0.672113208,0.538045142,0.454164702,0.373338685,0.230604063,0.145718837,0.099337061,0.075591827,0.058101989,0.04918561,0.041350056,0.023738492,0.014343033,0.006037238,0.003749247,0.002283479,0.001303932,0.000930602,0.280915555
5,0,150,30,700.0,MEAN,5,0.152887572,0.211385206,0.217398129,0.175986091,0.149419381,0.12352919,0.07611509,0.048116159,0.032704566,0.024813611,0.019067033,0.016177556,0.013645283,0.007816029,0.004712062,0.00199504,0.001246346,0.000765098,0.000438096,0.000315443,0.090165706
5,0,150,60,700.0,MEAN,5,0.064031424,0.086184321,0.090262968,0.074432001,0.064370283,0.054218031,0.034193656,0.022068545,0.015196714,0.011589721,0.008940376,0.007608839,0.006442473,0.003700006,0.002219966,0.000946726,0.000594417,0.00036929,0.000209109,0.000149369,0.038821232
5,0,150,100,700.0,MEAN,5,0.029664775,0.038243633,0.041086065,0.034738706,0.030854022,0.026699599,0.017467459,0.01163741,0.00818263,0.006295446,0.004885723,0.004174842,0.003552223,0.002049691,0.001221607,0.000525851,0.000332126,0.000209665,0.00011662,8.21E-05,0.018737313
5,0,150,120,700.0,MEAN,5,0.021669526,0.027318427,0.02972873,0.025453549,0.022915793,0.020104812,0.013404739,0.009077807,0.006452296,0.004987031,0.003882344,0.003324126,0.002835236,0.001640025,0.000974167,0.000421283,0.000266854,0.00016981,9.36E-05,6.53E-05,0.013976809
5,0,150,150,700.0,MEAN,5,0.014209877,0.017316057,0.019212236,0.016762496,0.015403145,0.01379705,0.00946746,0.006572021,0.00474854,0.00369594,0.002890818,0.002482615,0.002125183,0.001233944,0.000729245,0.00031756,0.000202018,0.000130104,7.07E-05,4.88E-05,0.00945992
5,0,150,200,700.0,MEAN,5,0.007638766,0.008791456,0.010074952,0.0090712,0.008626063,0.00799982,0.005761383,0.004168996,0.003096592,0.002438754,0.001922643,0.001659447,0.001429108,0.00083509,0.000489367,0.000215573,0.000138108,9.07E-05,4.82E-05,3.25E-05,0.005362303
5,90,5,5,700.0,MEAN,5,0.225309899,0.312003211,0.293007994,0.248993679,0.213999621,0.175466766,0.136701959,0.102717966,0.07785786,0.061710995,0.050094731,0.040575112,0.032543821,0.019612896,0.01282444,0.00606443,0.003985243,0.002929119,0.001832541,0.001260425,0.141767531
5,90,5,10,700.0,MEAN,5,0.123158302,0.175188698,0.164206774,0.139748202,0.119409678,0.097289005,0.074136072,0.054777482,0.040862737,0.032086899,0.025942933,0.021031077,0.016899319,0.010122875,0.00662443,0.003141644,0.002074986,0.001527907,0.000969752,0.000680844,0.076382575
5,90,5,30,700.0,MEAN,5,0.039318793,0.056186797,0.05311347,0.045709462,0.039285573,0.0321907,0.024469964,0.018087452,0.013453168,0.010532783,0.008513567,0.006917296,0.005576677,0.003333013,0.002176297,0.001038172,0.000689776,0.000511936,0.000325818,0.000230781,0.024516573
5,90,5,60,700.0,MEAN,5,0.016467258,0.022908054,0.022052537,0.019332474,0.016924328,0.01412878,0.010992792,0.008295834,0.006251237,0.004919557,0.00399194,0.003253429,0.00263297,0.001577805,0.001025305,0.000492654,0.000328974,0.000247098,0.000155521,0.000109283,0.010555713
5,90,5,100,700.0,MEAN,5,0.007629033,0.010165273,0.010037915,0.009022801,0.008112182,0.006957698,0.005615552,0.004374646,0.003365966,0.002672268,0.002181508,0.001785106,0.001451757,0.000874056,0.000564206,0.00027364,0.000183813,0.000140288,8.67E-05,6.00E-05,0.005094783
5,90,5,120,700.0,MEAN,5,0.005572852,0.007261316,0.007263156,0.006611131,0.006025051,0.005239149,0.004309441,0.003412459,0.002654182,0.002116877,0.001733495,0.001421346,0.001158734,0.000699362,0.000449922,0.000219228,0.000147685,0.000113623,6.96E-05,4.78E-05,0.003800376
5,90,5,150,700.0,MEAN,5,0.003654416,0.004602657,0.004693822,0.004353781,0.004049816,0.003595397,0.003043656,0.002470508,0.001953334,0.001568834,0.001290771,0.001061534,0.000868536,0.000526194,0.000336807,0.000165252,0.000111802,8.71E-05,5.26E-05,3.57E-05,0.002572208
5,90,5,200,700.0,MEAN,5,0.001964493,0.002336792,0.002461453,0.002356094,0.002267975,0.002084686,0.00185221,0.001567175,0.001273796,0.00103519,0.000858475,0.000709553,0.000584064,0.000356106,0.000226016,0.000112178,7.64E-05,6.07E-05,3.58E-05,2.38E-05,0.00145804
5,90,20,5,700.0,MEAN,5,0.24240914,0.335011139,0.315970805,0.267876933,0.230194362,0.188736134,0.145569423,0.108601681,0.08192752,0.064806908,0.052515901,0.042595772,0.034220935,0.020621554,0.013433517,0.006322348,0.004142908,0.00302497,0.001887403,0.001292979,0.152138104
5,90,20,10,700.0,MEAN,5,0.132504984,0.188107472,0.177075526,0.150346472,0.12844619,0.104646317,0.078945072,0.057915182,0.04299865,0.033696639,0.027196809,0.02207844,0.017770212,0.010643482,0.006939047,0.003275258,0.002157079,0.001577908,0.000998787,0.000698429,0.081970074
5,90,20,30,700.0,MEAN,5,0.042302779,0.060330164,0.057275932,0.049175982,0.04225857,0.034625048,0.02605726,0.01912351,0.014156369,0.011061191,0.008925038,0.007261781,0.005864068,0.003504422,0.00227966,0.001082328,0.000717068,0.000528688,0.000335569,0.000236743,0.026310012
5,90,20,60,700.0,MEAN,5,0.017716984,0.024597343,0.023780768,0.020798607,0.018205109,0.015197235,0.011705863,0.008771025,0.00657799,0.005166363,0.004184875,0.003415448,0.002768659,0.001658953,0.001074004,0.000513606,0.000341989,0.000255185,0.000160176,0.000112103,0.011327887
5,90,20,100,700.0,MEAN,5,0.008208012,0.010914882,0.010824579,0.009707072,0.008726091,0.007483857,0.005979817,0.004625226,0.0035419,0.002806332,0.002286946,0.001874001,0.00152657,0.000919009,0.000591004,0.000285278,0.000191084,0.000144881,8.93E-05,6.16E-05,0.005467478
5,90,20,120,700.0,MEAN,5,0.005995788,0.007796783,0.007832361,0.007112506,0.006481012,0.005635345,0.004588985,0.003607922,0.002792914,0.002223076,0.001817273,0.001492128,0.001218445,0.000735331,0.000471294,0.000228549,0.00015353,0.000117339,7.17E-05,4.90E-05,0.004078381
5,90,20,150,700.0,MEAN,5,0.003931762,0.00494207,0.005061681,0.004683958,0.004356298,0.003867293,0.003241094,0.002612016,0.002055434,0.00164754,0.001353156,0.001114393,0.000913298,0.000553253,0.000352805,0.000172282,0.000116225,8.99E-05,5.41E-05,3.66E-05,0.002760366
5,90,20,200,700.0,MEAN,5,0.00211359,0.002509115,0.002654356,0.002534774,0.002439609,0.002242338,0.001972353,0.001656942,0.00134038,0.00108713,0.000899967,0.000744889,0.000614157,0.000374423,0.000236748,0.000116951,7.95E-05,6.27E-05,3.69E-05,2.44E-05,0.001564697
5,90,100,5,700.0,MEAN,5,0.781352667,1.045827685,1.056640595,0.862751923,0.739610892,0.605920903,0.397920844,0.264776728,0.185125655,0.141827585,0.111755838,0.092698744,0.076465315,0.046004412,0.028223437,0.012310968,0.007707528,0.005063719,0.003025881,0.001944397,0.470778969
5,90,100,10,700.0,MEAN,5,0.427100719,0.587228187,0.592159742,0.484221494,0.412695565,0.335957857,0.215800057,0.141200324,0.097160917,0.073743875,0.0578758,0.048048036,0.039706838,0.023744426,0.014578747,0.006377631,0.004013061,0.002641375,0.001601251,0.001050299,0.2536496
5,90,100,30,700.0,MEAN,5,0.136353784,0.188336787,0.1915369,0.158381222,0.135776094,0.111160736,0.071228761,0.046624138,0.031988119,0.024206999,0.018992813,0.015803402,0.013103029,0.007817977,0.0047895,0.002107525,0.001334044,0.000885012,0.000537985,0.000356016,0.081414203
