ID,Sigma,Tau,Phi
ln(PGA),0.41321425,0.162539687,0.444032844
ln(PGV),0.472750692,0.233914556,0.527455435
ln(PSA=0.01),0.55,0.13,0.565154846
ln(PSA=0.02),0.48,0.14,0.5
ln(PSA=0.022),0.45,0.14,0.471274867
ln(PSA=0.025),0.45,0.11,0.463249393
ln(PSA=0.029),0.48,0.11,0.49244289
ln(PSA=0.03),0.49,0.14,0.509607692
ln(PSA=0.032),0.42,0.11,0.434165867
ln(PSA=0.035),0.51,0.14,0.528866713
ln(PSA=0.036),0.45,0.12,0.465725241
ln(PSA=0.04),0.45,0.13,0.468401537
ln(PSA=0.042),0.46,0.14,0.480832611
ln(PSA=0.044),0.46,0.13,0.478016736
ln(PSA=0.045),0.48,0.14,0.5
ln(PSA=0.046),0.47,0.1,0.480520551
ln(PSA=0.048),0.49,0.15,0.512445119
ln(PSA=0.05),0.46,0.14,0.480832611
ln(PSA=0.055),0.45,0.13,0.468401537
ln(PSA=0.06),0.41,0.18,0.447772264
ln(PSA=0.065),0.46,0.15,0.483838816
ln(PSA=0.067),0.5,0.1,0.509901951
ln(PSA=0.07),0.4,0.14,0.423792402
ln(PSA=0.075),0.45,0.13,0.468401537
ln(PSA=0.08),0.45,0.1,0.460977223
ln(PSA=0.085),0.54,0.12,0.553172667
ln(PSA=0.09),0.44,0.16,0.468187996
ln(PSA=0.095),0.46,0.14,0.480832611
ln(PSA=0.1),0.36,0.16,0.393954312
ln(PSA=0.11),0.49,0.16,0.515460959
ln(PSA=0.12),0.49,0.11,0.502195181
ln(PSA=0.13),0.49,0.11,0.502195181
ln(PSA=0.133),0.52,0.14,0.538516481
ln(PSA=0.14),0.46,0.11,0.472969344
ln(PSA=0.15),0.48,0.11,0.49244289
ln(PSA=0.16),0.51,0.13,0.526307895
ln(PSA=0.17),0.49,0.11,0.502195181
ln(PSA=0.18),0.43,0.12,0.446430286
ln(PSA=0.19),0.45,0.13,0.468401537
ln(PSA=0.2),0.5,0.1,0.509901951
ln(PSA=0.22),0.48,0.13,0.49729267
ln(PSA=0.24),0.51,0.15,0.531601354
ln(PSA=0.25),0.49,0.12,0.50447993
ln(PSA=0.26),0.48,0.13,0.49729267
ln(PSA=0.28),0.48,0.14,0.5
ln(PSA=0.29),0.49,0.14,0.509607692
ln(PSA=0.3),0.47,0.14,0.490407993
ln(PSA=0.32),0.52,0.14,0.538516481
ln(PSA=0.34),0.53,0.15,0.550817574
ln(PSA=0.35),0.46,0.15,0.483838816
ln(PSA=0.36),0.43,0.2,0.474236228
ln(PSA=0.38),0.47,0.16,0.496487663
ln(PSA=0.4),0.48,0.16,0.505964426
ln(PSA=0.42),0.49,0.15,0.512445119
ln(PSA=0.44),0.51,0.15,0.531601354
ln(PSA=0.45),0.52,0.19,0.553624421
ln(PSA=0.46),0.51,0.22,0.555427763
ln(PSA=0.48),0.49,0.19,0.525547334
ln(PSA=0.5),0.5,0.17,0.528109837
ln(PSA=0.55),0.47,0.2,0.510783712
ln(PSA=0.6),0.56,0.24,0.609261848
ln(PSA=0.65),0.52,0.2,0.557135531
ln(PSA=0.667),0.49,0.25,0.550090902
ln(PSA=0.7),0.51,0.22,0.555427763
ln(PSA=0.75),0.41,0.28,0.496487663
ln(PSA=0.8),0.52,0.23,0.568594759
ln(PSA=0.85),0.52,0.25,0.576974869
ln(PSA=0.9),0.55,0.24,0.600083328
ln(PSA=0.95),0.52,0.26,0.581377674
ln(PSA=1.0),0.54,0.25,0.595063022
ln(PSA=1.1),0.53,0.26,0.590338886
ln(PSA=1.2),0.55,0.3,0.626498204
ln(PSA=1.3),0.51,0.26,0.572450871
ln(PSA=1.4),0.54,0.27,0.603738354
ln(PSA=1.5),0.53,0.24,0.581807528
ln(PSA=1.6),0.53,0.26,0.590338886
ln(PSA=1.7),0.56,0.28,0.626099034
ln(PSA=1.8),0.55,0.28,0.617170965
ln(PSA=1.9),0.6,0.26,0.653911309
ln(PSA=2.0),0.55,0.24,0.600083328
ln(PSA=2.2),0.48,0.24,0.536656315
ln(PSA=2.4),0.58,0.27,0.639765582
ln(PSA=2.5),0.58,0.25,0.631585307
ln(PSA=2.6),0.6,0.27,0.657951366
ln(PSA=2.8),0.58,0.26,0.635609943
ln(PSA=3.0),0.58,0.26,0.635609943
ln(PSA=3.2),0.57,0.3,0.644127317
ln(PSA=3.4),0.59,0.29,0.657419197
ln(PSA=3.5),0.63,0.28,0.689420046
