IMT	d0	d1	d2	d3	d4	d5	tau	phis2s	phi
DRVT(0.100000)	-12.453125867808900296	2.265070750964019997	2.343787976452410327	0.624482385734875911	-0.403026387873397007	-0.027247547171696900	0.754093856676959051	0.241163041780326021	0.493592034082187991
DRVT(0.200000)	-6.520143974112809993	1.689999610718379897	1.535317175191810213	0.482067029770475997	-0.309724383145583038	-0.286619826784507981	0.612559040651896924	0.243883341321730007	0.522043296092606024
DRVT(0.250000)	-5.008938342780889563	1.480040538635470027	1.321562332056499978	0.454445581097838947	-0.279235652516796995	-0.309525589489802966	0.473919393735442007	0.270380233178010021	0.525324691843597980
DRVT(0.333000)	-2.608286562814499998	1.185726020745870191	1.045334285987550071	0.393819834267916002	-0.230404711185352995	-0.387909999169650022	0.391346221024220009	0.282685706609304976	0.524179906342668978
DRVT(0.400000)	-1.543230159925520040	1.036039791553069911	0.895364868473363940	0.356791268591267030	-0.202116198735990016	-0.403690671736557982	0.327018121954518959	0.298188804728176993	0.517337792658840057
DRVT(0.500000)	0.333960534472892978	0.722860333982584202	0.733305991973792870	0.328221749966453036	-0.159773539307610984	-0.424222945989308931	0.264576109960628025	0.299068836403101002	0.503190176931284983
DRVT(1.000000)	3.352207867910570016	0.196309672573529992	0.314485461712703973	0.321713861639480014	-0.061798494046040597	-0.462225253665662028	0.203465392995559990	0.266091309811819998	0.455356026751957965
DRVT(10.000000)	-0.684120430793722978	0.335392352348517997	1.032043892977950073	0.470537730997860004	-0.127868332410535024	-0.247554258451504999	0.254629155926244022	0.296960230511646994	0.478635897020813994
DRVT(100.000000)	-0.471808081684987002	0.478525378447060001	1.080285308770210007	0.493213457226542973	-0.144555092594704004	-0.436570591288972965	0.296931016199210973	0.333051970648100992	0.512956304082603953
DRVT(14.925000)	-0.901557775920589166	0.412972908394066029	1.102590275535660025	0.484578608523549947	-0.146593980713971006	-0.293387253757383004	0.272449977974769997	0.309184126581008967	0.494911071620452947
DRVT(2.000000)	2.543344627776029654	0.109596919035278018	0.422668874081128021	0.333078387918121055	-0.059626589682534301	-0.341829991086883000	0.193235659031861989	0.260454902093160023	0.452489730270711987
DRVT(2.941000)	1.764707467445299827	0.134039162728899014	0.576623181821514064	0.347315102127133957	-0.072957138509880004	-0.297266562741991980	0.199737655346333975	0.246197734300676985	0.456325405716896004
DRVT(20.000000)	-0.596865801412305053	0.389895192833306037	1.078990399007730083	0.478029151111236006	-0.140924276632781009	-0.315509916737803986	0.275404883110626053	0.324688008507653003	0.506501496777110982
DRVT(25.000000)	-0.432884819448578928	0.383148149256407000	1.069735583604789930	0.470847471400426987	-0.140021138364184006	-0.332489973387724014	0.282555299866926013	0.327653626888446070	0.513584429580520974
DRVT(3.333000)	1.513555474497090048	0.144582459928320001	0.633301021194999980	0.351207788584513014	-0.079471722424804506	-0.284643140317568988	0.204775345292148997	0.243523400288019998	0.458870385544763948
DRVT(33.333000)	-0.308867220286403010	0.393466618358936038	1.072528094496000062	0.476950908870955037	-0.142529832241635984	-0.369331981663112041	0.285192523677043008	0.327557647415606001	0.521909774846307961
DRVT(4.000000)	1.123971405402959922	0.171747194907011985	0.700166035410864973	0.364605512924223996	-0.084683859552102600	-0.272200417248687987	0.208262645821426035	0.249021947295400975	0.462945254205767043
DRVT(5.000000)	0.746117088434967046	0.170509958557413993	0.756681058958569075	0.379255760724008018	-0.088942144435340001	-0.237698798828760022	0.233768556448271020	0.261602925140040021	0.462929057754140061
DRVT(50.000000)	-0.256358613475116071	0.414853860589568024	1.066389043467179887	0.485214931491419976	-0.139202751158666982	-0.409158387336240992	0.294321989323505007	0.331609598511373949	0.514039076789606031
DRVT(7.519000)	-0.298594366137973022	0.287009958260428966	0.918043828258243932	0.432754898896367035	-0.112681829368921002	-0.228576818740991977	0.248548859910108971	0.284093931942531963	0.470221366005818042
