branchset,branch,filter,utype,uvalue,weight
bs1,b11,,sourceModel,source_model.xml,1.000000E+00
bs21,b21,applyToSources = '1',abGRAbsolute,4.600000E+00 1.100000E+00,3.330000E-01
bs21,b22,applyToSources = '1',abGRAbsolute,4.500000E+00 1.000000E+00,3.330000E-01
bs21,b23,applyToSources = '1',abGRAbsolute,4.400000E+00 9.000000E-01,3.340000E-01
bs31,b31,applyToSources = '2',abGRAbsolute,3.300000E+00 1.000000E+00,3.330000E-01
bs31,b32,applyToSources = '2',abGRAbsolute,3.200000E+00 9.000000E-01,3.330000E-01
bs31,b33,applyToSources = '2',abGRAbsolute,3.100000E+00 8.000000E-01,3.340000E-01
bs41,b41,applyToSources = '1',maxMagGRAbsolute,7.000000E+00,3.330000E-01
bs41,b42,applyToSources = '1',maxMagGRAbsolute,7.300000E+00,3.330000E-01
bs41,b43,applyToSources = '1',maxMagGRAbsolute,7.600000E+00,3.340000E-01
bs51,b51,applyToSources = '2',maxMagGRAbsolute,7.500000E+00,3.330000E-01
bs51,b52,applyToSources = '2',maxMagGRAbsolute,7.800000E+00,3.330000E-01
bs51,b53,applyToSources = '2',maxMagGRAbsolute,8.000000E+00,3.340000E-01
