lon,lat,pga,pgv
-76.54089628,3.350158496,0.321997551,33
-76.5447625,3.350644261,0.390888871,36
-76.52807865,3.346549516,0.378205952,54
-76.52986033,3.356627335,0.410491933,43
-76.52791777,3.351601131,0.287797134,41
-76.53695948,3.359381589,0.258216794,43
-76.53186688,3.357215666,0.312514386,57
-76.53359358,3.358809652,0.353509452,23
-76.53623366,3.360646342,0.425795927,59
-76.54101536,3.356775668,0.449394403,51
-76.54250938,3.355253032,0.357578658,52
-76.53311662,3.352947214,0.251838996,56
-76.54269425,3.353216984,0.339480195,42
-76.54169775,3.341862125,0.262419321,50
-76.53558166,3.341928921,0.444470621,58
-76.53691189,3.353697188,0.25025913,24
-76.53856634,3.34599949,0.290959244,54
-76.54002309,3.35269191,0.437589705,50
-76.54181451,3.340562482,0.333272922,22
-76.54116008,3.340542827,0.386191246,21
-76.54144139,3.347618601,0.371282322,55
-76.53316651,3.34031448,0.375408019,28
-76.53377436,3.363899064,0.325936236,59
-76.53905308,3.362678635,0.264034855,35
-76.54535137,3.355902278,0.322397538,24
-76.5431207,3.341079921,0.363326108,52
-76.54586651,3.352757775,0.314332652,52
-76.50708757,3.486345242,0.298409768,24
-76.56333455,3.414080026,0.269393212,23
-76.53716364,3.457680025,0.305895608,33
-76.55880589,3.412665613,0.328444633,24
-76.53819157,3.455463683,0.27493552,44
-76.53796528,3.455679822,0.446694273,26
-76.53884272,3.4533877,0.309458677,38
-76.54303507,3.450330484,0.290068478,58
-76.5633099,3.413303247,0.442416114,32
-76.54175178,3.44998768,0.341518567,47
-76.56306046,3.409302826,0.315088499,50
-76.53632157,3.458305489,0.419531804,55
-76.56942085,3.453564371,0.277009569,54
-76.54472493,3.449613165,0.35594402,25
-76.53509942,3.443837743,0.322288068,35
-76.53789894,3.447259323,0.361872436,24
-76.56171987,3.45370079,0.425823004,23
-76.5397422,3.44386924,0.317269655,38
-76.57403502,3.454699231,0.282853934,45
-76.53990639,3.436710184,0.364968944,46
-76.54063011,3.444819384,0.399787645,31
-76.54240952,3.439143933,0.304112244,26
-76.5619985,3.451595539,0.415650566,30
-76.57802612,3.454718207,0.295372609,53
-76.54054847,3.443616681,0.281928979,59
-76.56501261,3.454420839,0.448252338,38
-76.5602969,3.454564697,0.406392847,29
-76.53851896,3.442692953,0.281734048,38
-76.56828446,3.451896621,0.273956438,21
-76.54365228,3.43949469,0.276096144,45
-76.54591753,3.439659801,0.320610257,32
-76.53868506,3.44474574,0.287651728,36
-76.56148625,3.453556441,0.308029129,45
-76.53951971,3.442881879,0.394674015,53
-76.54394253,3.441290543,0.41875923,35
-76.53953379,3.448614794,0.4034985,44
-76.56758894,3.454532373,0.390555402,39
-76.54551747,3.448581064,0.250380607,41
-76.57336316,3.453597864,0.289652481,42
-76.54489688,3.439161375,0.319134193,38
-76.56299585,3.454390157,0.373486242,29
-76.54094972,3.436794774,0.365413018,37
-76.56298254,3.450906703,0.341836949,23
-76.54682466,3.441567725,0.382642147,42
-76.57876613,3.454084408,0.433744308,50
-76.55955779,3.45408754,0.32752386,21
-76.5425123,3.438554601,0.3379377,53
-76.53829492,3.448197167,0.332641759,60
-76.53989413,3.44269818,0.360742749,39
-76.53968995,3.440307205,0.373534049,45
-76.5399496,3.447472352,0.330802694,39
-76.53971201,3.446579071,0.387286096,33
-76.54493181,3.43892759,0.39028987,48
-76.53994544,3.444056173,0.446774169,48
-76.57690194,3.454947046,0.281383354,25
-76.56533344,3.453430033,0.324055372,58
-76.55620803,3.454699774,0.285360444,47
-76.56343793,3.454923715,0.296540929,48
-76.54479559,3.443571121,0.382812087,44
-76.53916644,3.44351525,0.330617577,52
-76.56441749,3.454429684,0.31364133,47
-76.53887841,3.449268721,0.404993502,60
-76.58244476,3.456737346,0.291997827,20
-76.58245744,3.457049033,0.386717181,28
-76.540221,3.439490744,0.263147559,30
-76.56279229,3.454508788,0.434772791,47
-76.54286841,3.449093271,0.315243373,37
-76.55904743,3.453711573,0.429872791,43
-76.57209538,3.4526441,0.294389967,54
-76.54468509,3.443794739,0.444368081,23
-76.56412602,3.453958392,0.418858311,33
-76.5850285,3.459618377,0.339443743,50
-76.5422389,3.444078962,0.27714028,48
-76.54926946,3.445357534,0.368402436,27
-76.54212764,3.448711114,0.296237013,30
-76.54947572,3.444909738,0.431648578,27
-76.5595416,3.452723645,0.274781099,43
-76.56143169,3.453318365,0.363459033,49
-76.53897061,3.440274883,0.273668793,55
-76.5461686,3.438880862,0.348621588,49
-76.56529257,3.454698519,0.410142274,31
-76.53857215,3.442063078,0.400539122,50
-76.53607229,3.442765483,0.434655922,40
-76.56006386,3.453928276,0.31246497,20
-76.54155759,3.439226523,0.26463366,30
-76.5628467,3.453590933,0.364563652,20
-76.54631015,3.442932698,0.26920656,52
-76.53960338,3.442466602,0.400096877,47
-76.5378261,3.444764462,0.378353693,50
-76.54201547,3.441878317,0.433914063,47
-76.56251266,3.454620553,0.300893994,48
-76.55330491,3.45389504,0.255161726,38
-76.54081307,3.443794307,0.347296974,29
-76.54999537,3.447150831,0.347943432,36
-76.56122927,3.450641747,0.327067985,37
-76.55683847,3.455244659,0.389552785,23
-76.58269259,3.4568174,0.351963852,32
-76.57517827,3.454134548,0.268622182,56
-76.53906761,3.438704804,0.375683149,52
-76.56122046,3.452428411,0.329810517,26
-76.54004643,3.446170274,0.282994217,48
-76.56350676,3.454631983,0.276231069,60
-76.55678452,3.449805793,0.287099688,30
-76.54106055,3.442305636,0.429962053,28
-76.54850087,3.449680948,0.436540692,23
-76.55218519,3.454282039,0.292945139,23
-76.5460669,3.44966202,0.368237823,30
-76.54284636,3.435235759,0.400285589,31
-76.56641201,3.454139795,0.390204112,54
-76.54550523,3.442784328,0.433214375,55
-76.56269513,3.454776255,0.359407537,47
-76.57684816,3.455358317,0.393333548,30
-76.5373172,3.441303904,0.330086798,24
-76.55505418,3.443672378,0.35332493,31
-76.54174214,3.44012191,0.292912463,29
