rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,0.01,0.05,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,3,4,5,7.5,10,pga
4,30,90,0,0,0,0,620,0,100,MEAN,5,9.94E-02,1.90E-01,2.08E-01,1.81E-01,1.39E-01,1.09E-01,8.56E-02,5.71E-02,3.84E-02,1.79E-02,1.02E-02,3.72E-03,1.62E-03,5.93E-04,2.85E-04,1.56E-04,4.64E-05,1.74E-05,9.94E-02
4,30,90,0,5,5,5,620,0,100,MEAN,5,2.98E-02,5.66E-02,6.19E-02,5.35E-02,4.03E-02,3.12E-02,2.41E-02,1.57E-02,1.04E-02,4.79E-03,2.71E-03,9.93E-04,4.32E-04,1.59E-04,7.63E-05,4.19E-05,1.24E-05,4.67E-06,2.98E-02
4,30,90,0,25,25,25,620,0,100,MEAN,5,3.88E-03,6.99E-03,8.42E-03,7.56E-03,5.93E-03,4.62E-03,3.57E-03,2.33E-03,1.55E-03,7.12E-04,4.02E-04,1.58E-04,7.28E-05,2.70E-05,1.30E-05,7.17E-06,2.13E-06,8.02E-07,3.88E-03
4,30,90,0,50,50,50,620,0,100,MEAN,5,1.28E-03,2.17E-03,2.76E-03,2.64E-03,2.20E-03,1.77E-03,1.41E-03,9.52E-04,6.48E-04,3.07E-04,1.76E-04,7.39E-05,3.59E-05,1.35E-05,6.55E-06,3.61E-06,1.08E-06,4.06E-07,1.28E-03
4,30,90,0,75,75,75,620,0,100,MEAN,5,6.30E-04,1.02E-03,1.17E-03,1.20E-03,1.08E-03,9.34E-04,7.85E-04,5.52E-04,4.02E-04,1.99E-04,1.16E-04,5.15E-05,2.60E-05,9.93E-06,4.84E-06,2.67E-06,7.99E-07,3.01E-07,6.30E-04
4,30,90,0,100,100,100,620,0,100,MEAN,5,3.42E-04,5.27E-04,5.82E-04,6.26E-04,5.92E-04,5.35E-04,4.67E-04,3.47E-04,2.64E-04,1.46E-04,8.85E-05,4.11E-05,2.14E-05,8.28E-06,4.06E-06,2.25E-06,6.74E-07,2.55E-07,3.42E-04
4,60,90,0,0,0,0,620,0,100,MEAN,5,9.94E-02,1.90E-01,2.08E-01,1.81E-01,1.39E-01,1.09E-01,8.56E-02,5.71E-02,3.84E-02,1.79E-02,1.02E-02,3.72E-03,1.62E-03,5.93E-04,2.85E-04,1.56E-04,4.64E-05,1.74E-05,9.94E-02
4,60,90,0,5,5,5,620,0,100,MEAN,5,2.98E-02,5.66E-02,6.19E-02,5.35E-02,4.03E-02,3.12E-02,2.41E-02,1.57E-02,1.04E-02,4.79E-03,2.71E-03,9.93E-04,4.32E-04,1.59E-04,7.63E-05,4.19E-05,1.24E-05,4.67E-06,2.98E-02
4,60,90,0,25,25,25,620,0,100,MEAN,5,3.88E-03,6.99E-03,8.42E-03,7.56E-03,5.93E-03,4.62E-03,3.57E-03,2.33E-03,1.55E-03,7.12E-04,4.02E-04,1.58E-04,7.28E-05,2.70E-05,1.30E-05,7.17E-06,2.13E-06,8.02E-07,3.88E-03
4,60,90,0,50,50,50,620,0,100,MEAN,5,1.28E-03,2.17E-03,2.76E-03,2.64E-03,2.20E-03,1.77E-03,1.41E-03,9.52E-04,6.48E-04,3.07E-04,1.76E-04,7.39E-05,3.59E-05,1.35E-05,6.55E-06,3.61E-06,1.08E-06,4.06E-07,1.28E-03
