rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,pga,0.05,0.1,0.3,0.5,1.0,2.0,5.0
4.5,5.0,5.0,200.0,MEAN,5.0,7.98860534e-01,1.22215413e+00,1.27344058e+00,1.03521864e+00,8.61448704e-01,1.98169717e-01,1.55404830e-02,2.28356409e-03
4.5,5.0,20.0,200.0,MEAN,5.0,9.73369593e-02,1.45063806e-01,1.84398854e-01,1.46667080e-01,1.02734303e-01,2.47264609e-02,2.78693212e-03,5.07478563e-04
4.5,5.0,50.0,200.0,MEAN,5.0,2.06902034e-02,2.93837972e-02,4.10087099e-02,3.42136152e-02,2.27213460e-02,5.86005211e-03,8.43387654e-04,1.72401451e-04
4.5,5.0,100.0,200.0,MEAN,5.0,5.44965907e-03,7.23261272e-03,1.04602402e-02,9.75172887e-03,6.57126599e-03,1.85003849e-03,3.22063589e-04,7.08792000e-05
4.5,5.0,200.0,200.0,MEAN,5.0,1.07891245e-03,1.26734214e-03,1.78987530e-03,2.13263909e-03,1.60054402e-03,5.22439687e-04,1.11067643e-04,2.58072038e-05
4.5,5.0,500.0,200.0,MEAN,5.0,4.90941661e-05,4.09829144e-05,4.61217625e-05,1.19044017e-04,1.40030392e-04,6.78115188e-05,1.93844738e-05,4.55039151e-06
4.5,5.0,5.0,360.0,MEAN,5.0,7.40396890e-01,1.19675650e+00,1.34275350e+00,9.48961215e-01,5.54804340e-01,9.91985918e-02,1.04275196e-02,1.77311417e-03
4.5,5.0,20.0,360.0,MEAN,5.0,9.02134714e-02,1.42049230e-01,1.94435618e-01,1.34446353e-01,6.61646330e-02,1.23774214e-02,1.87000554e-03,3.94040805e-04
4.5,5.0,50.0,360.0,MEAN,5.0,1.91760159e-02,2.87731715e-02,4.32407994e-02,3.13628374e-02,1.46333744e-02,2.93338925e-03,5.65905273e-04,1.33864189e-04
4.5,5.0,100.0,360.0,MEAN,5.0,5.05083235e-03,7.08231154e-03,1.10295874e-02,8.93918650e-03,4.23213463e-03,9.26081017e-04,2.16101673e-04,5.50354223e-05
4.5,5.0,200.0,360.0,MEAN,5.0,9.99953545e-04,1.24100546e-03,1.88729758e-03,1.95494141e-03,1.03080864e-03,2.61519682e-04,7.45253557e-05,2.00384648e-05
4.5,5.0,500.0,360.0,MEAN,5.0,4.55012688e-05,4.01312470e-05,4.86321537e-05,1.09124923e-04,9.01846725e-05,3.39446777e-05,1.30068017e-05,3.53323286e-06
4.5,5.0,5.0,570.0,MEAN,5.0,7.40396890e-01,1.19675650e+00,1.34275350e+00,9.48961215e-01,5.54804340e-01,9.91985918e-02,1.04275196e-02,1.77311417e-03
4.5,5.0,20.0,570.0,MEAN,5.0,9.02134714e-02,1.42049230e-01,1.94435618e-01,1.34446353e-01,6.61646330e-02,1.23774214e-02,1.87000554e-03,3.94040805e-04
4.5,5.0,50.0,570.0,MEAN,5.0,1.91760159e-02,2.87731715e-02,4.32407994e-02,3.13628374e-02,1.46333744e-02,2.93338925e-03,5.65905273e-04,1.33864189e-04
4.5,5.0,100.0,570.0,MEAN,5.0,5.05083235e-03,7.08231154e-03,1.10295874e-02,8.93918650e-03,4.23213463e-03,9.26081017e-04,2.16101673e-04,5.50354223e-05
4.5,5.0,200.0,570.0,MEAN,5.0,9.99953545e-04,1.24100546e-03,1.88729758e-03,1.95494141e-03,1.03080864e-03,2.61519682e-04,7.45253557e-05,2.00384648e-05
4.5,5.0,500.0,570.0,MEAN,5.0,4.55012688e-05,4.01312470e-05,4.86321537e-05,1.09124923e-04,9.01846725e-05,3.39446777e-05,1.30068017e-05,3.53323286e-06
4.5,5.0,5.0,800.0,MEAN,5.0,5.86508042e-01,1.07316796e+00,1.24697717e+00,5.69277452e-01,3.55887800e-01,6.81099846e-02,7.19544672e-03,1.31882003e-03
4.5,5.0,20.0,800.0,MEAN,5.0,7.14629237e-02,1.27379865e-01,1.80566855e-01,8.06537465e-02,4.24423241e-02,8.49836643e-03,1.29038599e-03,2.93082597e-04
4.5,5.0,50.0,800.0,MEAN,5.0,1.51903495e-02,2.58017781e-02,4.01565064e-02,1.88144214e-02,9.38680364e-03,2.01407191e-03,3.90499505e-04,9.95665012e-05
4.5,5.0,100.0,800.0,MEAN,5.0,4.00103489e-03,6.35092418e-03,1.02428656e-02,5.36257671e-03,2.71476802e-03,6.35849387e-04,1.49119650e-04,4.09346552e-05
4.5,5.0,200.0,800.0,MEAN,5.0,7.92116774e-04,1.11284735e-03,1.75267984e-03,1.17276033e-03,6.61228101e-04,1.79560024e-04,5.14257702e-05,1.49043582e-05
4.5,5.0,500.0,800.0,MEAN,5.0,3.60439927e-05,3.59869099e-05,4.51633045e-05,6.54635378e-05,5.78503489e-05,2.33064949e-05,8.97526469e-06,2.62797418e-06
4.5,20.0,5.0,200.0,MEAN,5.0,8.57298684e-01,1.31490574e+00,1.36734699e+00,1.11350495e+00,9.10792875e-01,2.08382184e-01,1.62014124e-02,2.34254377e-03
4.5,20.0,20.0,200.0,MEAN,5.0,1.04457341e-01,1.56072975e-01,1.97996845e-01,1.57758480e-01,1.08618971e-01,2.60007130e-02,2.90545903e-03,5.20585672e-04
4.5,20.0,50.0,200.0,MEAN,5.0,2.22037307e-02,3.16137897e-02,4.40327855e-02,3.68009504e-02,2.40228350e-02,6.16204373e-03,8.79256534e-04,1.76854219e-04
