rup_mag,rup_rake,dist_rjb,site_vs30,result_type,damping,pgv,pga,0.05,0.1,0.3,0.5,1.0,2.0,5.0
4.5,-90.0,0.0,200.0,MEAN,5.0,2.72108735e+01,7.61237242e-01,1.11107518e+00,1.04901729e+00,2.02874107e-01,1.41538233e-01,4.05621782e-02,8.71551722e-03,6.02939267e-04
4.5,-90.0,1.0,200.0,MEAN,5.0,2.56554465e+01,6.69395043e-01,9.67544523e-01,9.58262439e-01,1.93489016e-01,1.33827887e-01,3.80056985e-02,8.15936622e-03,5.70698187e-04
4.5,-90.0,5.0,200.0,MEAN,5.0,1.39330609e+01,3.30068135e-01,4.52616617e-01,4.95422833e-01,1.24272626e-01,7.87572229e-02,2.07282106e-02,4.48629187e-03,3.80301221e-04
4.5,-90.0,20.0,200.0,MEAN,5.0,3.04961684e+00,7.57404352e-02,1.01411390e-01,1.16902956e-01,3.76667052e-02,2.06614308e-02,4.76198012e-03,1.03241865e-03,1.26966641e-04
4.5,-90.0,50.0,200.0,MEAN,5.0,9.26782400e-01,1.93576792e-02,2.73574398e-02,3.36545538e-02,1.33038944e-02,6.81528540e-03,1.46219225e-03,3.17558044e-04,4.85326079e-05
4.5,-90.0,100.0,200.0,MEAN,5.0,3.71027420e-01,4.89510922e-03,7.93383308e-03,1.07820315e-02,5.26682753e-03,2.69432213e-03,5.68966271e-04,1.24820913e-04,2.10632569e-05
4.5,-90.0,200.0,200.0,MEAN,5.0,1.56059251e-01,7.09470144e-04,1.57270866e-03,2.59160458e-03,1.73731491e-03,9.74368236e-04,2.17591175e-04,4.90447800e-05,8.09267356e-06
4.5,-90.0,0.0,360.0,MEAN,5.0,2.04297766e+01,6.65790140e-01,1.01590789e+00,9.74164033e-01,1.66361984e-01,1.06266140e-01,2.86536585e-02,5.99666475e-03,4.04735914e-04
4.5,-90.0,1.0,360.0,MEAN,5.0,1.82581291e+01,5.49767050e-01,8.28526512e-01,8.38826744e-01,1.51110766e-01,9.52408619e-02,2.54929927e-02,5.36849672e-03,3.70196899e-04
4.5,-90.0,5.0,360.0,MEAN,5.0,8.26336350e+00,2.18800852e-01,3.10015735e-01,3.54621353e-01,8.21960152e-02,4.67090157e-02,1.16559652e-02,2.53478784e-03,2.19534623e-04
4.5,-90.0,20.0,360.0,MEAN,5.0,1.78234093e+00,4.93505625e-02,6.82248839e-02,8.23356002e-02,2.45827857e-02,1.20755215e-02,2.64007747e-03,5.76225182e-04,7.26093747e-05
4.5,-90.0,50.0,360.0,MEAN,5.0,5.41655655e-01,1.26129769e-02,1.84048177e-02,2.37031465e-02,8.68264911e-03,3.98317650e-03,8.10650341e-04,1.77239090e-04,2.77547100e-05
4.5,-90.0,100.0,360.0,MEAN,5.0,2.16846048e-01,3.18953004e-03,5.33751523e-03,7.59386304e-03,3.43734053e-03,1.57468983e-03,3.15439165e-04,6.96664605e-05,1.20456042e-05
4.5,-90.0,200.0,360.0,MEAN,5.0,9.12084389e-02,4.62272901e-04,1.05804551e-03,1.82528592e-03,1.13384061e-03,5.69467078e-04,1.20634178e-04,2.73734278e-05,4.62801851e-06
4.5,-90.0,0.0,570.0,MEAN,5.0,1.55911091e+01,5.71466169e-01,8.98047192e-01,8.78709689e-01,1.37638987e-01,8.10976554e-02,2.07720535e-02,4.28767590e-03,2.86742770e-04
4.5,-90.0,1.0,570.0,MEAN,5.0,1.38726632e+01,4.67063163e-01,7.26523878e-01,7.49458586e-01,1.23744677e-01,7.23647199e-02,1.84807748e-02,3.83852942e-03,2.62272956e-04
4.5,-90.0,5.0,570.0,MEAN,5.0,6.18523076e+00,1.79501758e-01,2.64485744e-01,3.06723555e-01,6.49987003e-02,3.49622815e-02,8.44982261e-03,1.81239893e-03,1.55533432e-04
4.5,-90.0,20.0,570.0,MEAN,5.0,1.33249896e+00,4.03730526e-02,5.80767887e-02,7.10291868e-02,1.93849545e-02,9.02780139e-03,1.91388581e-03,4.12006829e-04,5.14414771e-05
4.5,-90.0,50.0,570.0,MEAN,5.0,4.04948114e-01,1.03185122e-02,1.56671972e-02,2.04482049e-02,6.84677319e-03,2.97786942e-03,5.87669189e-04,1.26727741e-04,1.96633463e-05
4.5,-90.0,100.0,570.0,MEAN,5.0,1.62116646e-01,2.60931300e-03,4.54358771e-03,6.55106559e-03,2.71054268e-03,1.17725657e-03,2.28673040e-04,4.98122234e-05,8.53393484e-06
4.5,-90.0,200.0,570.0,MEAN,5.0,6.81884975e-02,3.78179441e-04,9.00666763e-04,1.57463569e-03,8.94099186e-04,4.25740260e-04,8.74519949e-05,1.95722775e-05,3.27880675e-06
4.5,-90.0,0.0,800.0,MEAN,5.0,1.27650750e+01,5.09842181e-01,8.19052496e-01,8.13276852e-01,1.19511444e-01,6.63979477e-02,1.63843358e-02,3.34776454e-03,2.22372525e-04
4.5,-90.0,1.0,800.0,MEAN,5.0,1.13268875e+01,4.14029315e-01,6.59280934e-01,6.89525200e-01,1.06759073e-01,5.90850532e-02,1.45770479e-02,2.99707649e-03,2.03395885e-04
4.5,-90.0,5.0,800.0,MEAN,5.0,5.00304736e+00,1.55676392e-01,2.35916050e-01,2.76520212e-01,5.48632480e-02,2.82799392e-02,6.66495160e-03,1.41509876e-03,1.20618079e-04
4.5,-90.0,20.0,800.0,MEAN,5.0,1.07700620e+00,3.49527817e-02,5.17318024e-02,6.39303768e-02,1.63334427e-02,7.29681472e-03,1.50961232e-03,3.21689858e-04,3.98934946e-05
4.5,-90.0,50.0,800.0,MEAN,5.0,3.27303541e-01,8.93320371e-03,1.39555297e-02,1.84045672e-02,5.76897808e-03,2.40689405e-03,4.63534784e-04,9.89474592e-05,1.52491655e-05
4.5,-90.0,100.0,800.0,MEAN,5.0,1.31032472e-01,2.25900054e-03,4.04719315e-03,5.89633797e-03,2.28385852e-03,9.51529910e-04,1.80370028e-04,3.88927705e-05,6.61817084e-06
4.5,-90.0,200.0,800.0,MEAN,5.0,5.51140651e-02,3.27407085e-04,8.02267413e-04,1.41726321e-03,7.53353216e-04,3.44109010e-04,6.89793549e-05,1.52817932e-05,2.54275474e-06
4.5,0.0,0.0,200.0,MEAN,5.0,3.71957855e+01,8.55162914e-01,1.22925657e+00,1.12965816e+00,2.19914999e-01,1.54295360e-01,5.27370407e-02,1.23192281e-02,7.65194274e-04
4.5,0.0,1.0,200.0,MEAN,5.0,3.50696012e+01,7.51988715e-01,1.07045904e+00,1.03192674e+00,2.09741585e-01,1.45890064e-01,4.94132257e-02,1.15331186e-02,7.24276904e-04
4.5,0.0,5.0,200.0,MEAN,5.0,2.03913947e+01,4.05534417e-01,5.47112443e-01,5.80211153e-01,1.45010141e-01,9.19218239e-02,2.85666009e-02,6.66852549e-03,5.01602697e-04
4.5,0.0,20.0,200.0,MEAN,5.0,4.62005198e+00,9.73713645e-02,1.28199214e-01,1.42848432e-01,4.56213840e-02,2.49626003e-02,6.75905829e-03,1.57417961e-03,1.70760909e-04
4.5,0.0,50.0,200.0,MEAN,5.0,1.40403962e+00,2.48860947e-02,3.45839089e-02,4.11238553e-02,1.61134899e-02,8.23404956e-03,2.07540611e-03,4.84196404e-04,6.52728319e-05
4.5,0.0,100.0,200.0,MEAN,5.0,5.62092242e-01,6.29311757e-03,1.00295555e-02,1.31749987e-02,6.37910748e-03,3.25520953e-03,8.07579219e-04,1.90320598e-04,2.83285503e-05
4.5,0.0,200.0,200.0,MEAN,5.0,2.36423751e-01,9.12089768e-04,1.98813974e-03,3.16678607e-03,2.10421140e-03,1.17720622e-03,3.08844513e-04,7.47809938e-05,1.08840580e-05
4.5,0.0,0.0,360.0,MEAN,5.0,3.05775712e+01,8.32074689e-01,1.25604604e+00,1.15952630e+00,1.95878336e-01,1.26841718e-01,4.06704234e-02,9.14341035e-03,5.44340402e-04
4.5,0.0,1.0,360.0,MEAN,5.0,2.73272318e+01,6.87074229e-01,1.02437185e+00,9.98437267e-01,1.77921209e-01,1.13681692e-01,3.61842384e-02,8.18561160e-03,4.97887936e-04
4.5,0.0,5.0,360.0,MEAN,5.0,1.24678191e+01,2.78629601e-01,3.88992407e-01,4.29520911e-01,9.86134996e-02,5.62033492e-02,1.65442412e-02,3.86491598e-03,2.95258119e-04
4.5,0.0,20.0,360.0,MEAN,5.0,2.70017782e+00,6.34447320e-02,8.62464905e-02,1.00609187e-01,2.97743246e-02,1.45893293e-02,3.74727257e-03,8.78598940e-04,9.76543342e-05
