rup_mag,dist_azimuth,dist_repi,result_type,damping,pga,pgv
4,0,5,MEAN,5,3.228741E-02,1.159595E+00
4,0,10,MEAN,5,2.704784E-02,1.362006E+00
4,0,15,MEAN,5,2.147597E-02,1.679590E+00
4,0,30,MEAN,5,1.056855E-02,3.198883E+00
4,0,50,MEAN,5,4.970441E-03,6.348593E+00
4,0,100,MEAN,5,1.468322E-03,1.922442E+01
4,0,200,MEAN,5,2.699249E-03,6.476140E+01
4,30,5,MEAN,5,2.871609E-02,1.211611E+00
4,30,10,MEAN,5,2.393324E-02,1.487610E+00
4,30,15,MEAN,5,1.898769E-02,1.877681E+00
4,30,30,MEAN,5,9.468726E-03,3.580065E+00
4,30,50,MEAN,5,4.565528E-03,6.941231E+00
4,30,100,MEAN,5,1.416869E-03,2.004406E+01
4,30,200,MEAN,5,2.644187E-03,6.398690E+01
4,60,5,MEAN,5,2.361285E-02,1.410252E+00
4,60,10,MEAN,5,1.972987E-02,1.810037E+00
4,60,15,MEAN,5,1.571687E-02,2.280010E+00
4,60,30,MEAN,5,8.001067E-03,4.244093E+00
4,60,50,MEAN,5,3.992826E-03,7.965038E+00
4,60,100,MEAN,5,1.334539E-03,2.147014E+01
4,60,200,MEAN,5,2.546629E-03,6.261825E+01
4,90,5,MEAN,5,2.173164E-02,1.729551E+00
4,90,10,MEAN,5,1.823489E-02,2.027081E+00
4,90,15,MEAN,5,1.456883E-02,2.483538E+00
4,90,30,MEAN,5,7.477756E-03,4.541030E+00
4,90,50,MEAN,5,3.779721E-03,8.419028E+00
4,90,100,MEAN,5,1.300861E-03,2.210037E+01
4,90,200,MEAN,5,2.503400E-03,6.201218E+01
4,120,5,MEAN,5,2.361285E-02,1.410252E+00
4,120,10,MEAN,5,1.972987E-02,1.810037E+00
4,120,15,MEAN,5,1.571687E-02,2.280010E+00
4,120,30,MEAN,5,8.001067E-03,4.244093E+00
4,120,50,MEAN,5,3.992826E-03,7.965038E+00
4,120,100,MEAN,5,1.334539E-03,2.147014E+01
4,120,200,MEAN,5,2.546629E-03,6.261825E+01
4,150,5,MEAN,5,2.871609E-02,1.211611E+00
4,150,10,MEAN,5,2.393324E-02,1.487610E+00
4,150,15,MEAN,5,1.898769E-02,1.877681E+00
4,150,30,MEAN,5,9.468726E-03,3.580065E+00
4,150,50,MEAN,5,4.565528E-03,6.941231E+00
4,150,100,MEAN,5,1.416869E-03,2.004406E+01
4,150,200,MEAN,5,2.644187E-03,6.398690E+01
4,180,5,MEAN,5,3.228741E-02,1.159595E+00
4,180,10,MEAN,5,2.704784E-02,1.362006E+00
4,180,15,MEAN,5,2.147597E-02,1.679590E+00
4,180,30,MEAN,5,1.056855E-02,3.198883E+00
4,180,50,MEAN,5,4.970441E-03,6.348593E+00
4,180,100,MEAN,5,1.468322E-03,1.922442E+01
4,180,200,MEAN,5,2.699249E-03,6.476140E+01
4,210,5,MEAN,5,2.871609E-02,1.211611E+00
4,210,10,MEAN,5,2.393324E-02,1.487610E+00
4,210,15,MEAN,5,1.898769E-02,1.877681E+00
4,210,30,MEAN,5,9.468726E-03,3.580065E+00
4,210,50,MEAN,5,4.565528E-03,6.941231E+00
4,210,100,MEAN,5,1.416869E-03,2.004406E+01
4,210,200,MEAN,5,2.644187E-03,6.398690E+01
4,240,5,MEAN,5,2.361285E-02,1.410252E+00
4,240,10,MEAN,5,1.972987E-02,1.810037E+00
4,240,15,MEAN,5,1.571687E-02,2.280010E+00
4,240,30,MEAN,5,8.001067E-03,4.244093E+00
4,240,50,MEAN,5,3.992826E-03,7.965038E+00
4,240,100,MEAN,5,1.334539E-03,2.147014E+01
4,240,200,MEAN,5,2.546629E-03,6.261825E+01
4,270,5,MEAN,5,2.173164E-02,1.729551E+00
4,270,10,MEAN,5,1.823489E-02,2.027081E+00
4,270,15,MEAN,5,1.456883E-02,2.483538E+00
4,270,30,MEAN,5,7.477756E-03,4.541030E+00
4,270,50,MEAN,5,3.779721E-03,8.419028E+00
4,270,100,MEAN,5,1.300861E-03,2.210037E+01
4,270,200,MEAN,5,2.503400E-03,6.201218E+01
4,300,5,MEAN,5,2.361285E-02,1.410252E+00
4,300,10,MEAN,5,1.972987E-02,1.810037E+00
4,300,15,MEAN,5,1.571687E-02,2.280010E+00
4,300,30,MEAN,5,8.001067E-03,4.244093E+00
4,300,50,MEAN,5,3.992826E-03,7.965038E+00
4,300,100,MEAN,5,1.334539E-03,2.147014E+01
4,300,200,MEAN,5,2.546629E-03,6.261825E+01
4,330,5,MEAN,5,2.871609E-02,1.211611E+00
4,330,10,MEAN,5,2.393324E-02,1.487610E+00
4,330,15,MEAN,5,1.898769E-02,1.877681E+00
4,330,30,MEAN,5,9.468726E-03,3.580065E+00
4,330,50,MEAN,5,4.565528E-03,6.941231E+00
4,330,100,MEAN,5,1.416869E-03,2.004406E+01
4,330,200,MEAN,5,2.644187E-03,6.398690E+01
5,0,5,MEAN,5,7.938197E-02,2.877402E+00
