rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,0.04,0.10,0.20,0.40,0.80,1.00,2.00,3.00,4.00,pga
5.0,0.0,0.0,180.0,MEAN,5.0,0.37435564367571705,0.43235943169974406,0.5081132502128399,0.4900009491744475,0.27079875625800515,0.21611962463588313,0.10442969442954783,0.07648460131573273,0.009335434981961547,0.34732259038973806
5.0,0.0,0.0,250.0,MEAN,5.0,0.37435564367571705,0.43235943169974406,0.5081132502128399,0.4900009491744475,0.27079875625800515,0.21611962463588313,0.10442969442954783,0.07648460131573273,0.009335434981961547,0.34732259038973806
5.0,0.0,0.0,600.0,MEAN,5.0,0.34705199996443065,0.38301978131076536,0.37529681179596575,0.38457032250202183,0.17412014853311222,0.1363622644503131,0.07393056193592212,0.05414695107177448,0.004982040869121072,0.32199060349147934
5.0,0.0,0.0,900.0,MEAN,5.0,0.2765190469844999,0.3051769328951261,0.30512681975253725,0.3095189135040216,0.1389067211329849,0.10831639680382286,0.058725132754735176,0.04301045206054465,0.0032778502143966173,0.2414692489688315
5.0,0.0,0.0,1200.0,MEAN,5.0,0.2765190469844999,0.3051769328951261,0.30512681975253725,0.3095189135040216,0.1389067211329849,0.10831639680382286,0.058725132754735176,0.04301045206054465,0.0032778502143966173,0.2414692489688315
5.0,0.0,10.0,180.0,MEAN,5.0,0.02434624643120953,0.028744497060734637,0.03698951103809253,0.03465052351569129,0.016414841350115738,0.012374897250259595,0.006099233506784668,0.004467095739830015,5.337263635283859E-5,0.023615677450967917
5.0,0.0,10.0,250.0,MEAN,5.0,0.02434624643120953,0.028744497060734637,0.03698951103809253,0.03465052351569129,0.016414841350115738,0.012374897250259595,0.006099233506784668,0.004467095739830015,5.337263635283859E-5,0.023615677450967917
5.0,0.0,10.0,600.0,MEAN,5.0,0.021698614971850848,0.02390863127368628,0.02333665417394891,0.02397451335930783,0.010127343053453329,0.007808032307239041,0.004317926649102686,0.0031624615974530025,2.8483370739164813E-5,0.021047494682839098
5.0,0.0,10.0,900.0,MEAN,5.0,0.015361442996296356,0.016926014720600974,0.017036429893987785,0.017234940979288446,0.007910239727872283,0.006202140519279341,0.003429851052850669,0.002512032538088173,1.8740155959535674E-5,0.01358940395255949
5.0,0.0,10.0,1200.0,MEAN,5.0,0.015361442996296356,0.016926014720600974,0.017036429893987785,0.017234940979288446,0.007910239727872283,0.006202140519279341,0.003429851052850669,0.002512032538088173,1.8740155959535674E-5,0.01358940395255949
